Industry,Occupancy
Habitational,High Rise Apartments - 10+ stories
Habitational,High Rise Condos - 10+ stories
Habitational,High Rise Student Housing - 10+ stories
Habitational,Low Rise Apartments - <5 stories
Habitational,Low Rise Condos - <5 stories
Habitational,Low Rise Student Housing - <5 stories
Habitational,Mid Rise Apartments - 5-9 stories
Habitational,Mid Rise Condos - 5-9 stories
Habitational,Mid Rise Student Housing - 5-9 stories
Habitational,Military Housing
Habitational,Single Family Dwellings
Health Services,Assisted Living
Health Services,Day Care
Health Services,Home Health Care Service
Health Services,Hospital
Health Services,Laboratories
Health Services,Medical Office
Health Services,Nursing Home
Health Services,Outpatient Care Centers
Health Services,Rehabilitation Facility
Health Services,Residential Care
Heavy Industry,Alkalies and Chlorine Manufacturing
Heavy Industry,Aluminium Rolling (Cold)
Heavy Industry,Aluminium Smelting
Heavy Industry,Aluminum Foundries (Except Die-Casting)
Heavy Industry,"Aluminum Sheet, Plate, and Foil Manufacturing"
Heavy Industry,Ammunition (Except Small Arms) Manufacturing
Heavy Industry,Battery Manufacturing (excluding Lithium)
Heavy Industry,Battery Manufacturing (Lithium)
Heavy Industry,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
Heavy Industry,Brick and Structural Clay Tile Manufacturing
Heavy Industry,Cement Manufacturing
Heavy Industry,Clay Refractory Manufacturing
Heavy Industry,Concrete Products
Heavy Industry,Copper Smelting and Refining
Heavy Industry,"Electroplating, Plating, Polishing, Anodizing and Coloring"
Heavy Industry,Explosives Manufacturing
Heavy Industry,Fertilizer (Mixing Only) Manufacturing
Heavy Industry,Fertilizer Manufacturing
Heavy Industry,Flat Glass Manufacturing
Heavy Industry,Foam (Urethane Polystrene) Manufacturing
Heavy Industry,Folding Paperboard Box Manufacturing
Heavy Industry,Glass Product Manufacturing - Reformed Glass
Heavy Industry,Inorganic Chemical Manufacturing
Heavy Industry,Iron and Steel Mills (Blast Furnaces)
Heavy Industry,Iron and Steel Mills (Mini Mills/Electric Arc Furnaces)
Heavy Industry,Iron Foundries
Heavy Industry,Logging
Heavy Industry,Metal Heat Treating
Heavy Industry,Metal Smelting (Not Aluminium or Copper)
Heavy Industry,Metal Stamping
Heavy Industry,Miscellaneous Waste Management
Heavy Industry,Non Metal Mineral Production
Heavy Industry,Organic Chemical Manufacturing
Heavy Industry,Osb Mdf Reconstituted Wood Manufacturing
Heavy Industry,Paint and Coating Manufacturing Oil-Based
Heavy Industry,Paint and Coating Manufacturing Water-Based
Heavy Industry,Paper Mill - With Black L Recovery Boiler
Heavy Industry,Paper Mill - Without Black L Recovery Boiler
Heavy Industry,Paperboard Cardboard Mill
Heavy Industry,Pesticide and Other Agricultural Chemical Manufacturing
Heavy Industry,Plastics Material and Resin Manufacturing
Heavy Industry,Plastics Product Manufacturing
Heavy Industry,Railroad Rolling Stock Manufacturing
Heavy Industry,Recycling - All Other
Heavy Industry,Recycling - Metal
Heavy Industry,Recycling - Paper or Plastic
Heavy Industry,Rubber Product Manufacturing - Natural
Heavy Industry,Sawmill
Heavy Industry,Semiconductor and Wafer Manufacturing
Heavy Industry,Sheet Metal Work Manufacturing
Heavy Industry,Soap and Other Detergent Manufacturing
Heavy Industry,Steel Foundries
Heavy Industry,Steel Wire Drawing
Heavy Industry,Synthetic Rubber Manufacturing
Heavy Industry,Tire Manufacturing (Except Retreading)
Heavy Industry,Veneer and Plywood (Hardwood) Manufacturing
Heavy Industry,Veneer and Plywood (Softwood) Manufacturing
Heavy Industry,Wood Products Manufacturing
Hotels/Casino/Entertainment,Amusement and Theme Parks
Hotels/Casino/Entertainment,Bowling Centers
Hotels/Casino/Entertainment,Casino
Hotels/Casino/Entertainment,Fitness and Recreational Sports Centers
Hotels/Casino/Entertainment,Full-Service Hotel
Hotels/Casino/Entertainment,Golf Courses and Country Clubs
Hotels/Casino/Entertainment,Health Spas
Hotels/Casino/Entertainment,Inns/Bed and Breakfasts
Hotels/Casino/Entertainment,Large Stadium & Arenas
Hotels/Casino/Entertainment,Limited-Service Hotel
Hotels/Casino/Entertainment,Lodges and Clubs
Hotels/Casino/Entertainment,Motels
Hotels/Casino/Entertainment,Museums
Hotels/Casino/Entertainment,Non-Motor Racetracks W/O Garages
Hotels/Casino/Entertainment,Performing Arts Centres
Hotels/Casino/Entertainment,Racetracks Motor W Garages
Hotels/Casino/Entertainment,Recording Studio
Hotels/Casino/Entertainment,Resort Hotel
Hotels/Casino/Entertainment,Temporary Camps and Campgrounds
Hotels/Casino/Entertainment,Zoos and Botanical Gardens
Light Industry,Aircraft Engine and Engine Parts Manufacturing
Light Industry,Aircraft Manufacturing
Light Industry,Boat Building
Light Industry,Canvas and Related Product Mills
Light Industry,Carpet Manufacturer
Light Industry,Clothing Manufacturing
Light Industry,Communications Equipment Manufacturing
Light Industry,Construction Contractors
Light Industry,Electrical Equipment and Component Manufacturing
Light Industry,"Highway, Street, and Bridge Construction"
Light Industry,Leather Goods
Light Industry,Machinery Manufacturing
Light Industry,Metal Product Manufacturing
Light Industry,Mobile Home/Chalet Manufacturing
Light Industry,Parking Garages
Light Industry,Perfumes or Cosmetics
Light Industry,Pharmaceutical Preparation Manufacturing
Light Industry,Printing (Commercial)
Light Industry,Ship Building and Repairing
Light Industry,Textiles
Light Industry,Textiles - Nonwoven
Light Industry,Tobacco Cigarette Manufacturing
Mining,Coal Above
Mining,Coal Below
Mining,Metal Above
Mining,Metal Below
Mining,Non-Metal Above
Mining,Non-Metal Below
Mining,Processing Plants Above Ground
Offices,Offices
Oil/Petro/Gas,Compressor Stations
Oil/Petro/Gas,Other
Oil/Petro/Gas,Petroleum Refineries
Oil/Petro/Gas,Pipelines
Oil/Petro/Gas,Tank Farms Storage
Religious/Churches,Cemetery
Religious/Churches,"Church, Mosque or Synagogue"
Religious/Churches,"Church, Mosque or Synagogue - Modern"
Retail,Appliance Stores
Retail,Auto Dealers
Retail,Auto Parts
Retail,Auto Repair Shop Garage
Retail,Bakeries - Retail
Retail,Boat Dealers
Retail,Building Materials
Retail,Car Rental
Retail,Car Washes
Retail,Cinemas
Retail,Dealers Open Lot
Retail,Department Stores
Retail,Funeral Homes and Services
Retail,Gas Petrol Stations
Retail,Home Furnishing Stores
Retail,Laundry
Retail,Liqour Stores
Retail,"Lounges, Night Clubs, Discos"
Retail,Miscellaneous Retailers
Retail,Nurseries and Garden Centers
Retail,Pawn Shop
Retail,Pharmacies and Drug Stores
Retail,Restaurants - Fast Food
Retail,Restaurants - Not Fast Food
Retail,Self-Storage
Retail,Shopping Mall (Enclosed)
Retail,Strip Mall
Retail,Supermarkets and Grocery
Storage and Wholesale Trade,Alcohol Merchant Wholesalers
Storage and Wholesale Trade,Farm Product Warehousing and Storage
Storage and Wholesale Trade,General Warehousing and Storage - Multi Tenant
Storage and Wholesale Trade,General Warehousing and Storage - Hazardous
Storage and Wholesale Trade,General Warehousing and Storage - Non-Hazardous
Storage and Wholesale Trade,Grocery Merchant Wholesalers
Storage and Wholesale Trade,Motor Vehicle Supplies and New Parts Merchant Wholesalers
Storage and Wholesale Trade,Refrigerated Warehousing and Storage
Storage and Wholesale Trade,Tire and Tube Merchant Wholesalers
Transportation,Airport Terminals
Transportation,Bridges and Tunnels
Transportation,Bus Transport Terminal
Transportation,Cruise Ship Terminal
Transportation,Heavy Rail
Transportation,Heavy Rail Terminal
Transportation,Light Rail
Transportation,Light Rail Terminal
Transportation,Marinas
Transportation,Other Support Facilities For Air Transportation
Transportation,Piers and Wharves
Transportation,Port
Transportation,Roads/Highways/Toll Roads
Transportation,Rolling Stock
Transportation,Taxi Terminal
Transportation,Underground Rail
Transportation,Underground Rail Terminal
Unknown,Unknown
Utilities,Dam
Utilities,Desalination
Utilities,Substations
Utilities,T&D
Utilities,Co-Generation
Utilities,Gas Fired Power Stations
Utilities,Nuclear Power Plant
Utilities,Hydro Electric Power
Utilities,Natural Gas Distribution
Utilities,Other Electric Power Generation
Utilities,Solar Power Concentration
Utilities,Solar Power PV
Utilities,Battery Energy Storage (BESS)
Utilities,Thermal Power Generation
Utilities,Water & Sewage Treatment Facilities
Utilities,Water Supply and Irrigation Systems
Utilities,Wind Power Generation
