NAICS Code,NAICS Title,Valid From,Valid To,tblBeazOccMap,tblPCL_NAICSMap,tblEPL_COBMap,NAICS_Key,SIC_Code
111991,Sugar Beet Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Sugar Beet Farming - 111991,0133
111992,Peanut Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Peanut Farming - 111992,0139
111998,All Other Miscellaneous Crop Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",All Other Miscellaneous Crop Farming - 111998,0139
112111,Beef Cattle Ranching and Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Beef Cattle Ranching and Farming - 112111,0212
112112,Cattle Feedlots,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Cattle Feedlots - 112112,0211
112120,Dairy Cattle and Milk Production,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Dairy Cattle and Milk Production - 112120,0241
112130,Dual-Purpose Cattle Ranching and Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Dual-Purpose Cattle Ranching and Farming - 112130,No SIC available
112210,Hog and Pig Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Hog and Pig Farming - 112210,0213
112310,Chicken Egg Production,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Chicken Egg Production - 112310,0252
112320,Broilers and Other Meat Type Chicken Production,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Broilers and Other Meat Type Chicken Production - 112320,0251
112330,Turkey Production,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Turkey Production - 112330,0253
112340,Poultry Hatcheries,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Poultry Hatcheries - 112340,0254
112390,Other Poultry Production,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Other Poultry Production - 112390,0259
112410,Sheep Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Sheep Farming - 112410,0214
112420,Goat Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Goat Farming - 112420,0214
112511,Finfish Farming and Fish Hatcheries,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Finfish Farming and Fish Hatcheries - 112511,0273
112512,Shellfish Farming,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Shellfish Farming - 112512,0273
112519,Other Aquaculture,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Other Aquaculture - 112519,0139
112910,Apiculture,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Apiculture - 112910,0279
112920,Horses and Other Equine Production,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Horses and Other Equine Production - 112920,0272
112930,Fur-Bearing Animal and Rabbit Production,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Fur-Bearing Animal and Rabbit Production - 112930,0271
112990,All Other Animal Production,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",All Other Animal Production - 112990,0219
113110,Timber Tract Operations,01/01/2017,31/12/9999,Lumber,Not in either table,"Class not in Table A, B, C, or D",Timber Tract Operations - 113110,0811
113210,Forest Nurseries and Gathering of Forest Products,01/01/2017,31/12/9999,Lumber,Not in either table,"Class not in Table A, B, C, or D",Forest Nurseries and Gathering of Forest Products - 113210,0831
113310,Logging,01/01/2017,31/12/9999,Lumber,Not in either table,"Class not in Table A, B, C, or D",Logging - 113310,2411
114111,Finfish Fishing,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Finfish Fishing - 114111,0912
114112,Shellfish Fishing,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Shellfish Fishing - 114112,0913
114119,Other Marine Fishing,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Other Marine Fishing - 114119,0919
114210,Hunting and Trapping,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Hunting and Trapping - 114210,0971
115111,Cotton Ginning,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Cotton Ginning - 115111,0724
115112,"Soil Preparation, Planting, and Cultivating",01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D","Soil Preparation, Planting, and Cultivating - 115112",0711
115113,"Crop Harvesting, Primarily by Machine",01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D","Crop Harvesting, Primarily by Machine - 115113",0722
115114,Postharvest Crop Activities (except Cotton Ginning),01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Postharvest Crop Activities (except Cotton Ginning) - 115114,0723
115115,Farm Labor Contractors and Crew Leaders,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Farm Labor Contractors and Crew Leaders - 115115,0761
115116,Farm Management Services,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Farm Management Services - 115116,0762
115210,Support Activities for Animal Production,01/01/2017,31/12/9999,Agriculture,Not in either table,"Class not in Table A, B, C, or D",Support Activities for Animal Production - 115210,0751
115310,Support Activities for Forestry,01/01/2017,31/12/9999,Lumber,Not in either table,"Class not in Table A, B, C, or D",Support Activities for Forestry - 115310,0851
211120,Crude Petroleum Extraction,01/01/2017,31/12/9999,Oil & Gas,Not in either table,"Class not in Table A, B, C, or D",Crude Petroleum Extraction - 211120,1311
211130,Natural Gas Extraction,01/01/2017,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Natural Gas Extraction - 211130,1321
212114,Surface Coal Mining,01/01/2022,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Surface Coal Mining - 212114,1221
212115,Underground Coal Mining,01/01/2022,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Underground Coal Mining - 212115,1222
212210,Iron Ore Mining,01/01/2017,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Iron Ore Mining - 212210,1011
212220,Gold Ore and Silver Ore Mining,01/01/2022,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Gold Ore and Silver Ore Mining - 212220,1041
212230,"Copper, Nickel, Lead, and Zinc Mining",01/01/2017,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D","Copper, Nickel, Lead, and Zinc Mining - 212230",1021
212290,Other Metal Ore Mining,01/01/2022,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Other Metal Ore Mining - 212290,1061
212311,Dimension Stone Mining and Quarrying,01/01/2017,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Dimension Stone Mining and Quarrying - 212311,1411
212312,Crushed and Broken Limestone Mining and Quarrying,01/01/2017,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Crushed and Broken Limestone Mining and Quarrying - 212312,1422
212313,Crushed and Broken Granite Mining and Quarrying,01/01/2017,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Crushed and Broken Granite Mining and Quarrying - 212313,1423
212319,Other Crushed and Broken Stone Mining and Quarrying,01/01/2017,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Other Crushed and Broken Stone Mining and Quarrying - 212319,1429
212321,Construction Sand and Gravel Mining,01/01/2017,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Construction Sand and Gravel Mining - 212321,1442
212322,Industrial Sand Mining,01/01/2017,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Industrial Sand Mining - 212322,1446
212323,"Kaolin, Clay, and Ceramic and Refractory Minerals Mining",01/01/2022,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D","Kaolin, Clay, and Ceramic and Refractory Minerals Mining - 212323",1455
212390,Other Nonmetallic Mineral Mining and Quarrying,01/01/2022,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Other Nonmetallic Mineral Mining and Quarrying - 212390,1499
213111,Drilling Oil and Gas Wells,01/01/2017,31/12/9999,Oil & Gas,Not in either table,"Class not in Table A, B, C, or D",Drilling Oil and Gas Wells - 213111,1381
213112,Support Activities for Oil and Gas Operations,01/01/2017,31/12/9999,Oil & Gas,Not in either table,"Class not in Table A, B, C, or D",Support Activities for Oil and Gas Operations - 213112,1382
213113,Support Activities for Coal Mining,01/01/2017,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Support Activities for Coal Mining - 213113,1241
213114,Support Activities for Metal Mining,01/01/2017,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Support Activities for Metal Mining - 213114,1081
213115,Support Activities for Nonmetallic Minerals (except Fuels) Mining,01/01/2017,31/12/9999,Mining,Not in either table,"Class not in Table A, B, C, or D",Support Activities for Nonmetallic Minerals (except Fuels) Mining - 213115,1481
221111,Hydroelectric Power Generation,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Hydroelectric Power Generation - 221111,4911
221112,Fossil Fuel Electric Power Generation,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Fossil Fuel Electric Power Generation - 221112,4911
221113,Nuclear Electric Power Generation,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Nuclear Electric Power Generation - 221113,4911
221114,Solar Electric Power Generation,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Solar Electric Power Generation - 221114,4911
221115,Wind Electric Power Generation,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Wind Electric Power Generation - 221115,4911
221116,Geothermal Electric Power Generation,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Geothermal Electric Power Generation - 221116,4911
221117,Biomass Electric Power Generation,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Biomass Electric Power Generation - 221117,4911
221118,Other Electric Power Generation,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Other Electric Power Generation - 221118,4911
221121,Electric Bulk Power Transmission and Control,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Electric Bulk Power Transmission and Control - 221121,4911
221122,Electric Power Distribution,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Electric Power Distribution - 221122,4911
221210,Natural Gas Distribution,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Natural Gas Distribution - 221210,4923
221310,Water Supply and Irrigation Systems,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Water Supply and Irrigation Systems - 221310,4941
221320,Sewage Treatment Facilities,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Sewage Treatment Facilities - 221320,4952
221330,Steam and Air-Conditioning Supply,01/01/2017,31/12/9999,Utilities,Table B Class of Business,Table B,Steam and Air-Conditioning Supply - 221330,4961
236115,New Single-Family Housing Construction (except For-Sale Builders),01/01/2017,31/12/9999,Construction,Not in either table,Table A,New Single-Family Housing Construction (except For-Sale Builders) - 236115,1521
236116,New Multifamily Housing Construction (except For-Sale Builders),01/01/2017,31/12/9999,Construction,Not in either table,Table A,New Multifamily Housing Construction (except For-Sale Builders) - 236116,1522
236117,New Housing For-Sale Builders,01/01/2017,31/12/9999,Construction,Not in either table,Table A,New Housing For-Sale Builders - 236117,1531
236118,Residential Remodelers,01/01/2017,31/12/9999,Construction,Not in either table,Table A,Residential Remodelers - 236118,1521
236210,Industrial Building Construction,01/01/2017,31/12/9999,Construction,Not in either table,Table A,Industrial Building Construction - 236210,1531
236220,Commercial and Institutional Building Construction,01/01/2017,31/12/9999,Construction,Not in either table,Table A,Commercial and Institutional Building Construction - 236220,1522
237110,Water and Sewer Line and Related Structures Construction,01/01/2017,31/12/9999,Construction,Not in either table,Table A,Water and Sewer Line and Related Structures Construction - 237110,1623
237120,Oil and Gas Pipeline and Related Structures Construction,01/01/2017,31/12/9999,Construction,Not in either table,Table A,Oil and Gas Pipeline and Related Structures Construction - 237120,1389
237130,Power and Communication Line and Related Structures Construction,01/01/2017,31/12/9999,Construction,Not in either table,Table A,Power and Communication Line and Related Structures Construction - 237130,1623
237210,Land Subdivision,01/01/2017,31/12/9999,Construction,Not in either table,Table A,Land Subdivision - 237210,6552
237310,"Highway, Street, and Bridge Construction",01/01/2017,31/12/9999,Construction,Not in either table,Table A,"Highway, Street, and Bridge Construction - 237310",1611
237990,Other Heavy and Civil Engineering Construction,01/01/2017,31/12/9999,Construction,Not in either table,Table A,Other Heavy and Civil Engineering Construction - 237990,1622
238110,Poured Concrete Foundation and Structure Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Poured Concrete Foundation and Structure Contractors - 238110,1771
238120,Structural Steel and Precast Concrete Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Structural Steel and Precast Concrete Contractors - 238120,1791
238130,Framing Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Framing Contractors - 238130,1751
238140,Masonry Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Masonry Contractors - 238140,1741
238150,Glass and Glazing Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Glass and Glazing Contractors - 238150,1793
238160,Roofing Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Roofing Contractors - 238160,1761
238170,Siding Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Siding Contractors - 238170,1761
238190,"Other Foundation, Structure, and Building Exterior Contractors",01/01/2017,31/12/9999,Contractors,Not in either table,Table A,"Other Foundation, Structure, and Building Exterior Contractors - 238190",1791
238210,Electrical Contractors and Other Wiring Installation Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Electrical Contractors and Other Wiring Installation Contractors - 238210,1711
238220,"Plumbing, Heating, and Air-Conditioning Contractors",01/01/2017,31/12/9999,Contractors,Not in either table,Table A,"Plumbing, Heating, and Air-Conditioning Contractors - 238220",1711
238290,Other Building Equipment Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Other Building Equipment Contractors - 238290,1796
238310,Drywall and Insulation Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Drywall and Insulation Contractors - 238310,1742
238320,Painting and Wall Covering Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Painting and Wall Covering Contractors - 238320,1721
238330,Flooring Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Flooring Contractors - 238330,1752
238340,Tile and Terrazzo Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Tile and Terrazzo Contractors - 238340,1743
238350,Finish Carpentry Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Finish Carpentry Contractors - 238350,1751
238390,Other Building Finishing Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Other Building Finishing Contractors - 238390,1761
238910,Site Preparation Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,Site Preparation Contractors - 238910,1081
238990,All Other Specialty Trade Contractors,01/01/2017,31/12/9999,Contractors,Not in either table,Table A,All Other Specialty Trade Contractors - 238990,1771
311111,Dog and Cat Food Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Dog and Cat Food Manufacturing - 311111,2047
311119,Other Animal Food Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Other Animal Food Manufacturing - 311119,0723
311211,Flour Milling,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Flour Milling - 311211,2034
311212,Rice Milling,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Rice Milling - 311212,2044
311213,Malt Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Malt Manufacturing - 311213,2083
311221,Wet Corn Milling and Starch Manufacturing,01/01/2022,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Wet Corn Milling and Starch Manufacturing - 311221,2046
311224,Soybean and Other Oilseed Processing,01/01/2017,31/12/9999,Processing,Not in either table,"Class not in Table A, B, C, or D",Soybean and Other Oilseed Processing - 311224,2074
311225,Fats and Oils Refining and Blending,01/01/2017,31/12/9999,Processing,Not in either table,"Class not in Table A, B, C, or D",Fats and Oils Refining and Blending - 311225,2046
311230,Breakfast Cereal Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Breakfast Cereal Manufacturing - 311230,2043
311313,Beet Sugar Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Beet Sugar Manufacturing - 311313,2063
311314,Cane Sugar Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Cane Sugar Manufacturing - 311314,2061
311340,Nonchocolate Confectionery Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Nonchocolate Confectionery Manufacturing - 311340,2064
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Chocolate and Confectionery Manufacturing from Cacao Beans - 311351,2066
311352,Confectionery Manufacturing from Purchased Chocolate,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Confectionery Manufacturing from Purchased Chocolate - 311352,2064
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D","Frozen Fruit, Juice, and Vegetable Manufacturing - 311411",2037
311412,Frozen Specialty Food Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Frozen Specialty Food Manufacturing - 311412,2038
311421,Fruit and Vegetable Canning,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Fruit and Vegetable Canning - 311421,2033
311422,Specialty Canning,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Specialty Canning - 311422,2032
311423,Dried and Dehydrated Food Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Dried and Dehydrated Food Manufacturing - 311423,2034
311511,Fluid Milk Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Fluid Milk Manufacturing - 311511,2023
311512,Creamery Butter Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Creamery Butter Manufacturing - 311512,2021
311513,Cheese Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Cheese Manufacturing - 311513,2022
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D","Dry, Condensed, and Evaporated Dairy Product Manufacturing - 311514",2023
311520,Ice Cream and Frozen Dessert Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Ice Cream and Frozen Dessert Manufacturing - 311520,2024
311611,Animal (except Poultry) Slaughtering,01/01/2017,31/12/9999,Processing,Not in either table,"Class not in Table A, B, C, or D",Animal (except Poultry) Slaughtering - 311611,0751
311612,Meat Processed from Carcasses,01/01/2017,31/12/9999,Processing,Not in either table,"Class not in Table A, B, C, or D",Meat Processed from Carcasses - 311612,2013
311613,Rendering and Meat Byproduct Processing,01/01/2017,31/12/9999,Processing,Not in either table,"Class not in Table A, B, C, or D",Rendering and Meat Byproduct Processing - 311613,2013
311615,Poultry Processing,01/01/2017,31/12/9999,Processing,Not in either table,"Class not in Table A, B, C, or D",Poultry Processing - 311615,2015
311710,Seafood Product Preparation and Packaging,01/01/2017,31/12/9999,Processing,Not in either table,"Class not in Table A, B, C, or D",Seafood Product Preparation and Packaging - 311710,2077
311811,Retail Bakeries,01/01/2017,31/12/9999,Retail,Not in either table,"Class not in Table A, B, C, or D",Retail Bakeries - 311811,5461
311812,Commercial Bakeries,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Commercial Bakeries - 311812,2051
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D","Frozen Cakes, Pies, and Other Pastries Manufacturing - 311813",2053
311821,Cookie and Cracker Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Cookie and Cracker Manufacturing - 311821,2052
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D","Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour - 311824",2045
311830,Tortilla Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Tortilla Manufacturing - 311830,2099
311911,Roasted Nuts and Peanut Butter Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Roasted Nuts and Peanut Butter Manufacturing - 311911,2068
311919,Other Snack Food Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Other Snack Food Manufacturing - 311919,2052
311920,Coffee and Tea Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Coffee and Tea Manufacturing - 311920,2043
311930,Flavoring Syrup and Concentrate Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Flavoring Syrup and Concentrate Manufacturing - 311930,2087
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D","Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing - 311941",2035
311942,Spice and Extract Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Spice and Extract Manufacturing - 311942,2082
311991,Perishable Prepared Food Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Perishable Prepared Food Manufacturing - 311991,2099
311999,All Other Miscellaneous Food Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",All Other Miscellaneous Food Manufacturing - 311999,2015
312111,Soft Drink Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Soft Drink Manufacturing - 312111,2086
312112,Bottled Water Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Bottled Water Manufacturing - 312112,2086
312113,Ice Manufacturing,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Ice Manufacturing - 312113,2097
312120,Breweries,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Breweries - 312120,2082
312130,Wineries,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Wineries - 312130,2084
312140,Distilleries,01/01/2017,31/12/9999,Manufacturing,Not in either table,"Class not in Table A, B, C, or D",Distilleries - 312140,2085
