NAICS Code ,NAICS Description,Beazley Classification 
72241,Drinking Places (Alcoholic Beverages) ,Other Club
812191,Diet & Weight Reducing Centers ,Weight Loss
56144,Collection Agencies ,Collection Agencies
561491,Repossession Services ,Collection Agencies
51331,Wired Telecommunications Carriers ,Communications
51332,Wireless Telecom Carriers (exc Satellite) ,Communications
513321,Paging ,Service
513322,Cellular & Other Wireless Telecommunications ,Communications
51333,Telecommunications Resellers ,Communications
51334,Satellite Telecommunications ,Communications
51339,Other Telecommunications ,Communications
33411,Computer & Peripheral Equipment Mfg ,Hi-tech
334111,Electronic Computer Mfg ,Hi-tech
334112,Computer Storage Device Mfg ,Hi-tech
334113,Computer Terminal Mfg ,Hi-tech
334119,Other Computer Peripheral Equipment Mfg ,Hi-tech
51121,Software Publishers ,Hi-tech
54151,Computer Systems Design & Related Services ,Hi-tech
541511,Custom Computer Programming Services ,Hi-tech
541512,Computer Systems Design Services ,Hi-tech
541513,Computer Facilities Management Services ,Hi-tech
541519,Other Computer Related Services ,Hi-tech
23311,Land Subdivision & Land Development ,Construction
23321,Single-Family Housing Construction ,Construction
23322,Multifamily Housing Construction ,Construction
23331,Mfg & Industrial Building Construction ,Construction
23332,Commercial & Institutional Bldg Construction ,Construction
23411,Highway & Street Construction ,Construction
23412,Bridge & Tunnel Construction ,Construction
23491,"Water, Sewer & Pipeline Construction ",Construction
23492,Pwr/Communication Transmsn Line Construction ,Construction
23493,Industrial Nonbuilding Structure Construction ,Construction
23499,All Other Heavy Construction ,Construction
54161,Management Consulting Services ,Consulting
541611,Admin & Gen Management Consulting Services ,Consulting
541612,Human Res & Exec Search Consulting Services ,Consulting
541613,Marketing Consulting Services ,Consulting
541614,"Process, Phys Dist & Log Consulting Services ",Consulting
541618,Other Management Consulting Services ,Consulting
54162,Environmental Consulting Services ,Consulting
54169,Oth Scientific & Technical Consulting Services ,Consulting
23511,"Plumbing, Heating & AC Contractor ",Contractors
23521,Painting & Wall Covering Contractors ,Contractors
23531,Electrical Contractors ,Contractors
23541,Masonry & Stone Contractors ,Contractors
23542,"Drywall, Acoustical & Insulation Contractors ",Contractors
23543,"Tile, Marble, Terrazzo & Mosaic Contractors ",Contractors
23551,Carpentry Contractors ,Contractors
23552,Floor Laying & Other Floor Contractors ,Contractors
23561,"Roofing, Siding & Sheet Metal Contractors ",Contractors
23571,Concrete Contractors ,Contractors
23581,Water Well Drilling Contractors ,Contractors
23591,Structural Steel Erection Contractors ,Contractors
23592,Glass & Glazing Contractors ,Contractors
23593,Excavation Contractors ,Contractors
23594,Wrecking & Demolition Contractors ,Contractors
23595,Bldg Equip & Oth Mach Installation Contractor ,Contractors
23599,All Other Special Trade Contractors ,Contractors
31521,Cut & Sew Apparel Contractors,Manufacturing
315211,Men's/Boys' Cut & Sew Apparel Contractors ,Manufacturing
315212,Women's/Girls'/Infants' Cut/Sew Apparel Contr ,manufacturing
61111,Elementary & Secondary Schools ,Education
61121,Junior Colleges ,Education
61131,"Colleges, Universities & Professional Schools ",Education
61141,Business & Secretarial Schools ,Education
61142,Computer Training ,Education
61143,Professional/Management Development Training ,Education
61151,Technical & Trade Schools ,Education
611511,Cosmetology & Barber Schools ,Education
611512,Flight Training ,Education
611513,Apprenticeship Training ,Education
611519,Other Technical & Trade Schools ,Education
61161,Fine Arts Schools ,Education
61162,Sports & Recreation Instruction ,Education
61163,Language Schools ,Education
61169,All Other Schools & Instruction ,Education
611691,Exam Preparation & Tutoring ,Education
611692,Automobile Driving Schools ,Education
611699,All Other Miscellaneous Schools & Instruction ,Education
61171,Educational Support Services ,Education
56131,Employment Placement Agencies ,Staffing (excluding PEOs)
56132,Temporary Help Services ,Staffing (excluding PEOs)
56133,Employee Leasing Services ,Staffing (excluding PEOs)
51211,Motion Picture & Video Production ,Entertainment
51212,Motion Picture & Video Distribution ,Leisure
51213,Motion Picture & Video Exhibition ,Leisure
512131,Motion Picture Theaters (except Drive-Ins) ,Leisure
512132,Drive-In Motion Picture Theaters ,Leisure
51219,Postprod & Other Movie & Video Industries ,Entertainment
512191,Teleproduction & Oth Postproduction Services ,Entertainment
512199,Other Motion Picture & Video Industries ,Entertainment
51221,Record Production ,Entertainment
51222,Integrated Record Production/Distribution ,Entertainment
51223,Music Publishers ,Entertainment
51224,Sound Recording Studios ,Service
51229,Other Sound Recording Industries ,Service
51311,Radio Broadcasting ,Entertainment
513111,Radio Networks ,Entertainment
513112,Radio Stations ,Entertainment
51312,Television Broadcasting ,Entertainment
51321,Cable Networks ,Entertainment
51322,Cable & Other Program Distribution ,Service
71111,Theater Companies & Dinner Theaters ,Leisure
71112,Dance Companies ,Leisure
71113,Musical Groups & Artists ,Entertainment
71119,Other Performing Arts Companies ,Leisure
711211,Sports Teams and Clubs ,Leisure
71131,Promoters of Entertainment Events w/Facility ,Entertainment
71132,Promoters of Entertainment Events w/o Facility ,Entertainment
71141,Agents/Managers for Artists & Oth Public Figu ,Entertainment
71151,"Independent Artists, Writers & Performers ",Entertainment
42111,Automobile & Other Motor Vehicle Whsle ,Wholesale
42112,Motor Vehicle Supplies & New Parts Whsle ,Wholesale
42114,Motor Vehicle Parts (Used) Whsle ,Wholesale
48541,School & Employee Bus Transportation ,Transportation
81111,Automotive Mechanical & Electrical R&M ,Auto Repair
811111,General Automotive Repair ,Auto Repair
811112,Automotive Exhaust System Repair ,Auto Repair
811113,Automotive Transmission Repair ,Auto Repair
811118,Other Automotive Mechanical & Electrical R&M ,Auto Repair
81112,Automotive Body/Paint/Interior & Glass Repair ,Auto Repair
811121,"Automotive Body, Paint & Interior R&M ",Auto Repair
811122,Automotive Glass Replacement Shops ,Auto Repair
81119,Other Automotive R&M ,Auto Repair
811191,Automotive Oil Change & Lubrication Shops ,Auto Repair
811192,Carwashes ,Service
811198,All Other Automotive R&M ,Auto Repair
81321,Grantmaking & Giving Services ,NonProfit
813211,Grantmaking Foundations ,NonProfit
813212,Voluntary Health Organizations ,NonProfit
813219,Other Grantmaking & Giving Services ,NonProfit
81331,Social Advocacy Organizations ,NonProfit
813311,Human Rights Organizations ,NonProfit
813312,Environment & Wildlife Organizations ,NonProfit
813319,Other Social Advocacy Organizations ,NonProfit
81341,Civic & Social Organizations ,NonProfit
81391,Business Associations ,NonProfit
81392,Professional Organizations ,NonProfit
81393,Labor Unions & Similar Labor Organizations ,NonProfit
81394,Political Organizations ,NonProfit
81399,Oth Similar Org (exc Business/Prof/Labor/Pol) ,NonProfit
52111,Monetary Authorities - Central Bank ,Investment
52211,Commercial Banking ,Investment
52212,Savings Institutions ,Savings & Loans
52213,Credit Unions ,Savings & Loans
52219,Other Depository Credit Intermediation ,Savings & Loans
52221,Credit Card Issuing ,Other Financial
52222,Sales Financing ,Other Financial
52229,Other Nondepository Credit Intermediation ,Savings & Loans
522291,Consumer Lending ,Savings & Loans
522292,Real Estate Credit ,Savings & Loans
522293,International Trade Financing ,Investment
522294,Secondary Market Financing ,Investment
522298,All Oth Nondepository Credit Intermediation ,Savings & Loans
52231,Mortgage & Nonmortgage Brokers ,Savings & Loans
52232,Financial Clearinghouse & Reserve Activities ,Investment
52239,Other Credit Intermediation Activities ,Savings & Loans
52311,Investment Banking & Securities Dealing ,Investment
52312,Securities Brokerage ,Stockbrokers
52313,Commodity Contracts Dealing ,Stockbrokers
52314,Commodity Contracts Brokerage ,Stockbrokers
52321,Securities & Commodity Exchanges ,Stockbrokers
52391,Miscellaneous Intermediation ,Other Financial
52392,Portfolio Management ,Investment
52393,Investment Advice ,Service
52399,All Other Financial Investment Activities ,Investment
523991,"Trust, Fiduciary & Custody Activities ",Service
523999,Miscellaneous Financial Investment Activities ,Investment
52511,Pension Funds ,Employee Benefit Funds
52512,Health & Welfare Funds ,Employee Benefit Funds
52519,Other Insurance Funds ,Employee Benefit Funds
52591,Open-End Investment Funds ,Investment
52592,"Trusts, Estates & Agency Accounts ",Service
52593,Real Estate Investment Trusts ,Other Financial
52599,Other Financial Vehicles ,Investment
56145,Credit Bureaus ,Other Financial
44711,Gasoline Stations with Convenience Stores ,Gas Station
44719,Other Gasoline Stations ,Gas Station
62111,Offices of Physicians ,Healthcare
621111,Offices of Physicians (exc Mental Health) ,Healthcare
621112,"Offices of Physicians, Mental Health ",Healthcare
62121,Offices of Dentists ,Healthcare
62131,Offices of Chiropractors ,Healthcare
62132,Offices of Optometrists ,Healthcare
62133,Offices of Other Mental Health Practitioners ,Healthcare
62134,Offices of PT/OT/Speech Therapy & Audiology ,Healthcare
62139,All Oth Health Practitioners' Offices ,Healthcare
621391,Offices of Podiatrists ,Healthcare
621399,Offices of All Oth Misc Health Practitioners ,Healthcare
62141,Family Planning Centers ,Healthcare
62142,Outpatient Mental Health/Substance Abuse Ctrs ,Healthcare
62149,Other Outpatient Care Centers ,Healthcare
621491,HMO Medical Centers ,Healthcare
621492,Kidney Dialysis Centers ,Healthcare
621493,Freestanding Ambulatory Surgery/Emergency Ctr ,Healthcare
621498,All Other Outpatient Care Centers ,Healthcare
62151,Medical & Diagnostic Laboratories ,Healthcare
621511,Medical Laboratories ,Healthcare
621512,Diagnostic Imaging Centers ,Healthcare
62161,Home Health Care Services ,Healthcare
62191,Ambulance Services ,Healthcare
62199,All Other Ambulatory Health Care Services ,Healthcare
621991,Blood & Organ Banks ,Healthcare
621999,All Oth Misc Ambulatory Health Care Services ,Healthcare
62211,General Medical & Surgical Hospitals ,Healthcare
62221,Psychiatric & Substance Abuse Hospitals ,Healthcare
62231,Other Specialty Hospitals ,Healthcare
62311,Nursing Care Facilities ,Nursing Homes
62321,Residential Mental Retardation Facilities ,Nursing Homes
62322,Residential Mental Health/Subst Abuse Facil ,Nursing Homes
62331,Community Care Facilities for the Elderly ,Assisted Living
623311,Continuing Care Retirement Communities ,Assisted Living
623312,Homes for the Elderly ,Assisted Living
62399,Other Residential Care Facilities ,Assisted Living
62411,Child & Youth Services ,Social Services
62412,Services for Elderly & Disabled Persons ,Social Services
62419,Other Individual & Family Services ,Social Services
62421,Community Food Services ,Social Services
62422,Community Housing Services ,Social Services
624221,Temporary Shelters ,Social Services
624229,Other Community Housing Services ,Social Services
62423,Emergency & Other Relief Services ,Social Services
62431,Vocational Rehabilitation Services ,Social Services
62441,Child Day Care Services ,Social Services
72111,Hotels (exc Casino Hotels) & Motels ,Hotel
72119,Other Traveler Accommodation ,Hotel
721191,Bed & Breakfast Inns ,Hotel
721199,All Other Traveler Accommodation ,Hotel
72131,Rooming & Boarding Houses ,Hotel
51411,News Syndicates ,Entertainment
51419,Other Information Services ,Hi-Tech
514191,On-Line Information Services ,Hi-Tech
514199,All Other Information Services ,Hi-Tech
52411,Direct Life/Health/Medical Insurance Carriers ,Insurance
524113,Direct Life Insurance Carriers ,Insurance
524114,Direct Health & Medical Insurance Carriers ,Insurance
52412,Other Direct Insurance Carriers ,Insurance
524126,Direct Property & Casualty Insurance Carriers ,Insurance
524127,Direct Title Insurance Carriers ,Insurance
524128,All Other Direct Insurance Carriers ,Insurance
52413,Reinsurance Carriers ,Insurance
52421,Insurance Agencies & Brokerages ,Insurance
52429,Other Insurance Related Activities ,Insurance
524291,Claims Adjusting ,Insurance
524292,"Insurance & Pension Funds, Third Party Admin ",Insurance
524298,All Other Insurance Related Activities ,Insurance
54111,Offices of Lawyers ,Law Firm
54112,Offices of Notaries ,Service
54119,Other Legal Services ,Service
541191,Title Abstract & Settlement Offices ,Service
541199,All Other Legal Services ,Service
53211,Passenger Car Rental & Leasing ,Rental
532111,Passenger Car Rental ,Rental
532112,Passenger Car Leasing ,Rental
53212,"Truck, Utility Trailer & RV Rental & Leasing ",Rental
53311,Lessors of Other Nonfinancial Intangible Asset ,Leasing
71121,Spectator Sports ,Leisure
711212,Racetracks ,Leisure
711219,Other Spectator Sports ,Leisure
71311,Amusement & Theme Parks ,Leisure
71312,Amusement Arcades ,Leisure
71392,Skiing Facilities ,Leisure
71393,Marinas ,Leisure
71395,Bowling Centers ,Leisure
71399,All Other Amusement & Recreation Industries ,Leisure
72121,RV Parks & Recreational Camps ,Leisure
721211,RV Parks & Campgrounds ,Leisure
721214,Recreational/Vacation Camps (exc campgrounds) ,Leisure
11311,Timber Tract Operations ,Lumber
11321,Forest Nurseries & Gathering Forest Products ,Lumber
11331,Logging ,Lumber
11531,Forestry Support Activities ,Lumber
32111,Sawmills & Wood Preservation ,Lumber
321113,Sawmills ,Lumber
321114,Wood Preservation ,Lumber
321912,"Cut Stock, Resawing Lumber & Planing ",Lumber
55111,Management of Companies & Enterprises ,Management Services
551111,Offices of Bank Holding Companies ,Management Services
551112,Offices of Other Holding Companies ,Management Services
551114,"Corp, Subsidiary & Regional Managing Offices ",Management Services
56111,Office Administrative Services ,Management Services
56121,Facilities Support Services ,Management Services
31212,Breweries ,Manufacturing
31214,Distilleries ,Manufacturing
31142,"Fruit & Veg Canning, Pickling & Drying ",Manufacturing
311421,Fruit & Vegetable Canning ,Manufacturing
311422,Specialty Canning ,Manufacturing
311711,Seafood Canning ,Manufacturing
31111,Animal Food Mfg ,Manufacturing
311111,Dog & Cat Food Mfg ,Manufacturing
311119,Other Animal Food Mfg ,Manufacturing
31121,Flour Milling & Malt Mfg ,Manufacturing
311211,Flour Milling ,Manufacturing
311212,Rice Milling ,Manufacturing
311213,Malt Mfg ,Manufacturing
31122,Starch & Vegetable Fats & Oils Mfg ,Manufacturing
311221,Wet Corn Milling ,Manufacturing
31123,Breakfast Cereal Manufacturing ,Manufacturing
31131,Sugar Mfg ,Manufacturing
311311,Sugarcane Mills ,Manufacturing
311312,Cane Sugar Refining ,Manufacturing
311313,Beet Sugar Mfg ,Manufacturing
31132,Choc & Confectionery Mfg from Cacao Beans ,Manufacturing
31133,Confectionery Mfg from Purchased Chocolate ,Manufacturing
31134,Nonchocolate Confectionery Mfg ,Manufacturing
31141,Frozen Food Mfg ,Manufacturing
311411,"Frozen Fruit, Juice & Vegetable Mfg ",Manufacturing
311412,Frozen Specialty Food Mfg ,Manufacturing
311423,Dried & Dehydrated Food Mfg ,Manufacturing
31151,Dairy Product (exc Frozen) Mfg ,Manufacturing
311511,Fluid Milk Mfg ,Manufacturing
311512,Creamery Butter Mfg ,Manufacturing
311513,Cheese Mfg ,Manufacturing
311514,Dry/Condensed/Evaporated Dairy Product Mfg ,Manufacturing
31152,Ice Cream & Frozen Dessert Mfg ,Manufacturing
31181,Bread & Bakery Product Mfg ,Manufacturing
311812,Commercial Bakeries ,Manufacturing
311813,"Frozen Cakes, Pies & Other Pasteries Mfg ",Manufacturing
31182,"Cookie, Cracker & Pasta Mfg ",Manufacturing
311821,Cookie & Cracker Mfg ,Manufacturing
311822,Flour Mixes & Dough Mfg from Purchased Flour ,Manufacturing
311823,Dry Pasta Mfg ,Manufacturing
31183,Tortilla Mfg ,Manufacturing
31191,Snack Food Mfg ,Manufacturing
311911,Roasted Nuts & Peanut Butter Mfg ,Manufacturing
311919,Other Snack Food Mfg ,Manufacturing
31192,Coffee & Tea Mfg ,Manufacturing
31193,Flavoring Syrup & Concentrate Mfg ,Manufacturing
31194,Seasoning & Dressing Mfg ,Manufacturing
311941,"Mayonnaise, Dressing & Oth Prepared Sauce Mfg ",Manufacturing
311942,Spice & Extract Mfg ,Manufacturing
31199,All Other Food Mfg ,Manufacturing
311991,Perishable Prepared Food Mfg ,Manufacturing
311999,All Other Miscellaneous Food Mfg ,Manufacturing
31211,Soft Drink & Ice Mfg ,Manufacturing
312111,Soft Drink Mfg ,Manufacturing
312112,Bottled Water Mfg ,Manufacturing
312113,Ice Mfg ,Manufacturing
31222,Tobacco Product Mfg ,Manufacturing
312221,Cigarette Mfg ,Manufacturing
312229,Other Tobacco Product Mfg ,Manufacturing
31311,"Fiber, Yarn & Thread Mills ",Manufacturing
313111,Yarn Spinning Mills ,Manufacturing
313112,"Yarn Texturing, Throwing & Twisting Mills ",Manufacturing
313113,Thread Mills ,Manufacturing
31321,Broadwoven Fabric Mills ,Manufacturing
31322,Narrow Fabric Mills & Schiffli Mach Embroid ,Manufacturing
313221,Narrow Fabric Mills ,Manufacturing
313222,Schiffli Machine Embroidery ,Manufacturing
31323,Nonwoven Fabric Mills ,Manufacturing
31324,Knit Fabric Mills ,Manufacturing
313241,Weft Knit Fabric Mills ,Manufacturing
313249,Other Knit Fabric & Lace Mills ,Manufacturing
31331,Textile & Fabric Finishing Mills ,Manufacturing
313311,Broadwoven Fabric Finishing Mills ,Manufacturing
313312,Textile/Fabric Finishing (exc Broadwoven) Mill ,Manufacturing
31332,Fabric Coating Mills ,Manufacturing
31411,Carpet & Rug Mills ,Manufacturing
31412,Curtain & Linen Mills ,Manufacturing
314121,Curtain & Drapery Mills ,Manufacturing
314129,Other Household Textile Product Mills ,Manufacturing
31491,Textile Bag & Canvas Mills ,Manufacturing
314911,Textile Bag Mills ,Manufacturing
314912,Canvas & Related Product Mills ,Manufacturing
31499,All Other Textile Product Mills ,Manufacturing
314991,"Rope, Cordage & Twine Mills ",Manufacturing
314992,Tire Cord & Tire Fabric Mills ,Manufacturing
314999,All Other Miscellaneous Textile Product Mills ,Manufacturing
31511,Hosiery & Sock Mills ,Manufacturing
315111,Sheer Hosiery Mills ,Manufacturing
315119,Other Hosiery & Sock Mills ,Manufacturing
31519,Other Apparel Knitting Mills ,Manufacturing
315191,Outerwear Knitting Mills ,Manufacturing
315192,Underwear & Nightwear Knitting Mills ,Manufacturing
31522,Men's/Boys' Cut & Sew Apparel Mfg ,Manufacturing
315221,Men's/Boys' Cut & Sew Underwear/Nightwear Mfg ,Manufacturing
315222,"Men's/Boys' Cut & Sew Suit, Coat/Overcoat Mfg ",Manufacturing
315223,Men's/Boys' Cut & Sew Shirt (exc Work) Mfg ,Manufacturing
315224,Men's/Boys' Cut & Sew Trouser/Slack/Jean Mfg ,Manufacturing
315225,Men's/Boys' Cut & Sew Work Clothing Mfg ,Manufacturing
315228,Men's/Boys' Cut & Sew Oth Outerwear Mfg ,Manufacturing
31523,Women's/Girls' Cut & Sew Apparel Mfg ,Manufacturing
315231,Women's/Girls' Cut & Sew Lingerie Mfg ,Manufacturing
315232,Women's/Girls' Cut & Sew Blouse Mfg ,Manufacturing
315233,Women's/Girls' Cut & Sew Dress Mfg ,Manufacturing
315234,Women's/Girls' Cut & Sew Suit/Coat/Skirt Mfg ,Manufacturing
315239,Women's/Girls' Cut & Sew Other Outerwear Mfg ,Manufacturing
31529,Other Cut & Sew Apparel Mfg ,Manufacturing
315291,Infants' Cut & Sew Apparel Mfg ,Manufacturing
315292,Fur & Leather Apparel Mfg ,Manufacturing
315299,All Other Cut & Sew Apparel Mfg ,Manufacturing
31599,Apparel Accessories & Other Apparel Mfg ,Manufacturing
315991,"Hat, Cap & Millinery Mfg ",Manufacturing
315992,Glove & Mitten Mfg ,Manufacturing
315993,Men's & Boys' Neckwear Mfg ,Manufacturing
315999,Other Apparel Accessories & Other Apparel Mfg ,Manufacturing
31621,Footwear Mfg ,Manufacturing
316211,Rubber & Plastics Footwear Mfg ,Manufacturing
316212,House Slipper Mfg ,Manufacturing
316213,Men's Footwear (exc Athletic) Mfg ,Manufacturing
316214,Women's Footwear (exc Athletic) Mfg ,Manufacturing
316219,Other Footwear Mfg ,Manufacturing
31699,Other Leather & Allied Product Mfg ,Manufacturing
316991,Luggage Mfg ,Manufacturing
316992,Women's Handbag & Purse Mfg ,Manufacturing
316993,Personal Leather Good (exc Purse) Mfg ,Manufacturing
316999,All Other Leather Good Mfg ,Manufacturing
32121,"Veneer, Plywood & Engineered Wood Product Mfg ",Manufacturing
321211,Hardwood Veneer & Plywood Mfg ,Manufacturing
321212,Softwood Veneer & Plywood Mfg ,Manufacturing
321213,Engineered Wood Member (exc Truss) Mfg ,Manufacturing
321214,Truss Mfg ,Manufacturing
321219,Reconstituted Wood Product Mfg ,Manufacturing
32191,Millwork ,Manufacturing
321911,Wood Window & Door Mfg ,Manufacturing
321918,Other Millwork (including Flooring) ,Manufacturing
32192,Wood Container & Pallet Mfg ,Manufacturing
32199,All Other Wood Product Mfg ,Manufacturing
321991,Manufactured Home (Mobile Home) Mfg ,Manufacturing
321992,Prefabricated Wood Building Mfg ,Manufacturing
321999,All Other Miscellaneous Wood Product Mfg ,Manufacturing
32211,Pulp Mills ,Manufacturing
32212,Paper Mills ,Manufacturing
322121,Paper (except Newsprint) Mills ,Manufacturing
322122,Newsprint Mills ,Manufacturing
32213,Paperboard Mills ,Manufacturing
32221,Paperboard Container Mfg ,Manufacturing
322211,Corrugated & Solid Fiber Box Mfg ,Manufacturing
322212,Folding Paperboard Box Mfg ,Manufacturing
322213,Setup Paperboard Box Mfg ,Manufacturing
322214,"Fiber Can, Tube, Drum & Similar Products Mfg ",Manufacturing
322215,Nonfolding Sanitary Food Container Mfg ,Manufacturing
32222,Paper Bag & Coated & Treated Paper Mfg ,Manufacturing
322221,Coated & Lamnd Pkg Paper & Plastics Film Mfg ,Manufacturing
322222,Coated & Laminated Paper Mfg ,Manufacturing
322223,"Plastics, Foil, & Coated Paper Bag Mfg ",Manufacturing
322224,Uncoated Paper & Multiwall Bag Mfg ,Manufacturing
322225,Laminated Aluminum Foil Mfg for Flexible Pkg ,Manufacturing
322226,Surface-Coated Paperboard Mfg ,Manufacturing
32223,Stationery Product Mfg ,Manufacturing
322231,Die-Cut Paper & Paperboard Office Supply Mfg ,Manufacturing
322232,Envelope Mfg ,Manufacturing
322233,"Stationery, Tablet & Related Product Mfg ",Manufacturing
32229,Other Converted Paper Product Mfg ,Manufacturing
322291,Sanitary Paper Product Mfg ,Manufacturing
322299,All Other Converted Paper Product Mfg ,Manufacturing
32412,"Asphalt Paving, Roofing & Saturated Mat Mfg ",Manufacturing
324121,Asphalt Paving Mixture & Block Mfg ,Manufacturing
324122,Asphalt Shingle & Coating Materials Mfg ,Manufacturing
32419,Other Petroleum & Coal Products Mfg ,Manufacturing
324191,Petroleum Lubricating Oil & Grease Mfg ,Manufacturing
324199,All Other Petroleum & Coal Products Mfg ,Manufacturing
32511,Petrochemical Mfg ,Manufacturing
32512,Industrial Gas Mfg ,Manufacturing
32513,Synthetic Dye & Pigment Mfg ,Manufacturing
325131,Inorganic Dye & Pigment Mfg ,Manufacturing
325132,Synthetic Organic Dye & Pigment Mfg ,Manufacturing
32518,Other Basic Inorganic Chemical Mfg ,Manufacturing
325181,Alkalies & Chlorine Mfg ,Manufacturing
325182,Carbon Black Mfg ,Manufacturing
325188,All Other Basic Inorganic Chemical Mfg ,Manufacturing
32519,Other Basic Organic Chemical Mfg ,Manufacturing
325191,Gum & Wood Chemical Mfg ,Manufacturing
325192,Cyclic Crude & Intermediate Mfg ,Manufacturing
325193,Ethyl Alcohol Mfg ,Manufacturing
325199,All Other Basic Organic Chemical Mfg ,Manufacturing
32521,Resin & Synthetic Rubber Mfg ,Manufacturing
325211,Plastics Material & Resins Mfg ,Manufacturing
325212,Synthetic Rubber Mfg ,Manufacturing
32522,Artificial & Synthetic Fibers/Filaments Mfg ,Manufacturing
325221,Cellulose Organic Fiber Mfg ,Manufacturing
325222,Noncellulosic Organic Fiber Mfg ,Manufacturing
32531,Fertilizer Mfg ,Manufacturing
325311,Nitrogenous Fertilizer Mfg ,Manufacturing
325312,Phosphatic Fertilizer Mfg ,Manufacturing
325314,Fertilizer (Mixing Only) Mfg ,Manufacturing
32532,Pesticide & Other Agricultural Chemical Mfg ,Manufacturing
32551,Paint & Coating Mfg ,Manufacturing
32552,Adhesive Mfg ,Manufacturing
32561,Soap & Cleaning Compound Mfg ,Manufacturing
325611,Soap & Other Detergent Mfg ,Manufacturing
325612,Polish & Other Sanitation Good Mfg ,Manufacturing
325613,Surface Active Agent Mfg ,Manufacturing
32562,Toilet Preparation Mfg ,Manufacturing
32591,Printing Ink Mfg ,Manufacturing
32592,Explosives Mfg ,Manufacturing
32599,All Other Chemical Product & Preparation Mfg ,Manufacturing
325991,Custom Compounding of Purchased Resin ,Manufacturing
