Lookup,EELimitFrom,EELimitTo,ReinstateMultiple,AggLimitFrom,AggLimitTo,EPLFactor
30000006,3000000,4000000,6,18000000,21000000,1.55
30000007,3000000,4000000,7,21000000,24000000,1.55
30000008,3000000,4000000,8,24000000,27000000,1.55
30000009,3000000,4000000,9,27000000,30000000,1.55
300000010,3000000,4000000,10,30000000,30000000,1.55
40000001,4000000,5000000,1,4000000,8000000,1.7
40000002,4000000,5000000,2,8000000,12000000,1.7
40000003,4000000,5000000,3,12000000,16000000,1.7
40000004,4000000,5000000,4,16000000,20000000,1.7
40000005,4000000,5000000,5,20000000,24000000,1.7
40000006,4000000,5000000,6,24000000,28000000,1.7
40000007,4000000,5000000,7,28000000,32000000,1.7
40000008,4000000,5000000,8,32000000,36000000,1.7
40000009,4000000,5000000,9,36000000,40000000,1.7
400000010,4000000,5000000,10,40000000,40000000,1.7
50000001,5000000,10000000,1,5000000,10000000,1.85
50000002,5000000,10000000,2,10000000,15000000,1.85
50000003,5000000,10000000,3,15000000,20000000,1.85
50000004,5000000,10000000,4,20000000,25000000,1.85
50000005,5000000,10000000,5,25000000,30000000,1.85
50000006,5000000,10000000,6,30000000,35000000,1.85
50000007,5000000,10000000,7,35000000,40000000,1.85
50000008,5000000,10000000,8,40000000,45000000,1.85
50000009,5000000,10000000,9,45000000,50000000,1.85
500000010,5000000,10000000,10,50000000,50000000,1.85
100000001,10000000,15000000,1,10000000,20000000,2.5
100000002,10000000,15000000,2,20000000,30000000,2.5
100000003,10000000,15000000,3,30000000,40000000,2.5
100000004,10000000,15000000,4,40000000,50000000,2.5
100000005,10000000,15000000,5,50000000,60000000,2.5
100000006,10000000,15000000,6,60000000,70000000,2.5
100000007,10000000,15000000,7,70000000,80000000,2.5
100000008,10000000,15000000,8,80000000,90000000,2.5
100000009,10000000,15000000,9,90000000,100000000,2.5
1000000010,10000000,15000000,10,100000000,100000000,2.5
150000001,15000000,20000000,1,15000000,30000000,2.88
150000002,15000000,20000000,2,30000000,45000000,2.88
150000003,15000000,20000000,3,45000000,60000000,2.88
150000004,15000000,20000000,4,60000000,75000000,2.88
150000005,15000000,20000000,5,75000000,90000000,2.88
150000006,15000000,20000000,6,90000000,105000000,2.88
150000007,15000000,20000000,7,105000000,120000000,2.88
150000008,15000000,20000000,8,120000000,135000000,2.88
150000009,15000000,20000000,9,135000000,150000000,2.88
1500000010,15000000,20000000,10,150000000,150000000,2.88
200000001,20000000,25000000,1,20000000,40000000,3.25
200000002,20000000,25000000,2,40000000,60000000,3.25
200000003,20000000,25000000,3,60000000,80000000,3.25
200000004,20000000,25000000,4,80000000,100000000,3.25
200000005,20000000,25000000,5,100000000,120000000,3.25
200000006,20000000,25000000,6,120000000,140000000,3.25
200000007,20000000,25000000,7,140000000,160000000,3.25
200000008,20000000,25000000,8,160000000,180000000,3.25
200000009,20000000,25000000,9,180000000,200000000,3.25
2000000010,20000000,25000000,10,200000000,200000000,3.25
250000001,25000000,30000000,1,25000000,50000000,3.55
250000002,25000000,30000000,2,50000000,75000000,3.55
250000003,25000000,30000000,3,75000000,100000000,3.55
250000004,25000000,30000000,4,100000000,125000000,3.55
250000005,25000000,30000000,5,125000000,150000000,3.55
250000006,25000000,30000000,6,150000000,175000000,3.55
250000007,25000000,30000000,7,175000000,200000000,3.55
250000008,25000000,30000000,8,200000000,225000000,3.55
250000009,25000000,30000000,9,225000000,250000000,3.55
2500000010,25000000,30000000,10,250000000,250000000,3.55
300000001,30000000,35000000,1,30000000,60000000,3.85
300000002,30000000,35000000,2,60000000,90000000,3.85
300000003,30000000,35000000,3,90000000,120000000,3.85
300000004,30000000,35000000,4,120000000,150000000,3.85
300000005,30000000,35000000,5,150000000,180000000,3.85
300000006,30000000,35000000,6,180000000,210000000,3.85
300000007,30000000,35000000,7,210000000,240000000,3.85
300000008,30000000,35000000,8,240000000,270000000,3.85
300000009,30000000,35000000,9,270000000,300000000,3.85
3000000010,30000000,35000000,10,300000000,300000000,3.85
