country,rate
NEW BRUNSWICK,1.25
NEW CALEDONIA,1.4
NEW ZEALAND,1.4
NEWFOUNDLAND,1.25
NICARAGUA,1.2
NIGER,1.25
NIGERIA,1.25
NORTH EAST US,1.25
NORTH KOREA,1.4
NORTHERN IRELAND,1.25
NORWAY,1.25
NOVA SCOTIA,1.25
OMAN,1.25
ONTARIO,1.25
PAKISTAN,1.4
PALAU,1.4
PALESTINE,1.25
PANAMA,1.25
PAPUA NEW GUINEA,1.4
PARAGUAY,1.2
PERU,1.2
PHILIPPINES,1.4
POLAND,0.8
PORTUGAL,0.8
PRINCE EDWARD ISLAND,1.25
PUERTO RICO,1.2
QATAR,1.25
QUEBEC REGION,1.25
REPUBLIQUE OF GUINEA,1.25
REUNION ISLAND,1.25
ROMANIA,0.8
RUSSIA,1.25
RWANDA,1.25
SOUTH KOREA,1.4
SAINT MARTIN,1.25
SAMOA,1.4
SASKATCHEWAN,1.25
SAUDI ARABIA,1.25
SENEGAL,1.25
SERBIA,1.25
SEYCHELLES,1.25
SIERRA LEONE,1.25
SINGAPORE,1.4
SLOVAC REPUBLIC,0.8
SLOVENIA,0.8
SOLOMON ISLANDS,1.4
SOMALIA,1.25
SOUTH AFRICA,1.25
SPAIN,0.8
SRI LANKA,1.4
ST KITTS & NEVIS,1.25
ST LUCIA,1.25
SUDAN,1.25
SURINAM,1.25
SWAZILAND,1.25
SWEDEN,0.8
SWITZERLAND,1.25
SYRIA,1.25
TAHITI,1.25
TAIWAN,1.25
TAJIKISTAN,1.4
TANZANIA,1.25
TASMANIA,1.25
THAILAND,1.4
THE BAHAMAS,1.25
TOBAGO,1.25
TOGO,1.25
TONGA,1.4
TRINIDAD,1.25
TRINIDAD AND TOBAGO,1.25
TUNISIA,1.25
TURKEY,1.4
TURKMENISTAN,1.4
TURKS AND CAICOS ISLANDS,1.25
UGANDA,1.25
UKRAINE,1.25
UNITED ARAB EMIRATES,1.25
UNITED KINGDOM,1
URUGUAY,1.2
USA,1.7
UZBEKISTAN,1.4
VANUATU,1.4
VENEZUALA,1.25
VIETNAM,1.4
VIRGIN ISLANDS,1.25
WEST INDIES,1.25
WINDWARD ISLANDS,1.25
YEMEN,1.25
YUGOSLAVIA,1.25
ZAIRE,1.25
ZAMBIA,1.25
ZIMBABWE,1.25
