revenue,lower1,upper1,lower2,upper2,lower3,upper3,lower4,upper4,lower5,upper5,lower6,upper6,next
1.85e+09,43774.8718670936,44104.3857575774,59905.8422377788,60597.2753841629,67314.977739004,67938.7973499213,98248.0702282399,98888.5587898361,131019.084560096,131681.675761856,244594.58513123,245175.700307223,1.9e+09
1.9e+09,44104.3857575774,44429.7449492805,60597.2753841629,61282.9650865342,67938.7973499213,68555.6621291883,98888.5587898361,99520.5316436083,131681.675761856,132334.342459908,245175.700307223,245746.677646713,1.95e+09
1.95e+09,44429.7449492805,44751.6298675584,61282.9650865342,61964.216422963,68555.6621291883,69166.8333535123,99520.5316436083,100145.317846651,132334.342459908,132978.518254095,245746.677646713,246308.83684159,2e+09
2e+09,44751.6298675584,45070.6463642684,61964.216422963,62642.202273187,69166.8333535123,69773.4383024028,100145.317846651,100764.098375609,132978.518254095,133615.473486617,246308.83684159,246863.341974685,2.05e+09
2.05e+09,45070.6463642684,45387.3337498462,62642.202273187,63317.9765402254,69773.4383024028,70376.4842250748,100764.098375609,101377.922369998,133615.473486617,134246.333575501,246863.341974685,247411.219731384,2.1e+09
2.1e+09,45387.3337498462,45702.1720272421,63317.9765402254,63992.4862558658,70376.4842250748,70976.8710107436,101377.922369998,101987.721703499,134246.333575501,134872.095380145,247411.219731384,247953.375517248,2.15e+09
2.15e+09,45702.1720272421,46015.5883915672,63992.4862558658,64666.5826161371,70976.8710107436,71575.4026456836,101987.721703499,102594.324030099,134872.095380145,135493.641789305,247953.375517248,248490.607713886,2.2e+09
2.2e+09,46015.5883915672,46327.9630580879,64666.5826161371,65341.0310045329,71575.4026456836,72172.7975448098,102594.324030099,103198.464445253,135493.641789305,136111.754708516,248490.607713886,249023.620281523,2.25e+09
2.25e+09,46327.9630580879,46639.6344787993,65341.0310045329,66016.5200675746,72172.7975448098,72769.6978464797,103198.464445253,103800.795894099,136111.754708516,136727.12661013,249023.620281523,249553.03389491,2.3e+09
2.3e+09,46639.6344787993,46950.9040046428,66016.5200675746,66693.6699105757,72769.6978464797,73366.6777577037,103800.795894099,104401.89844976,136727.12661013,137340.370795456,249553.03389491,250079.395779322,2.35e+09
2.35e+09,46950.9040046428,47262.0400468104,66693.6699105757,67373.0394821486,73366.6777577037,73964.2510337755,104401.89844976,105002.287575428,137340.370795456,137952.030505184,250079.395779322,250603.188395342,2.4e+09
2.4e+09,47262.0400468104,47573.2817867237,67373.0394821486,68055.1332148309,73964.2510337755,74562.8776720539,105002.287575428,105602.421474616,137952.030505184,138562.587001622,250603.188395342,251124.83710481,2.45e+09
2.45e+09,47573.2817867237,47884.8424803689,68055.1332148309,68740.4069867882,74562.8776720539,75162.9698946971,105602.421474616,106202.707624851,138562.587001622,139172.466734347,251124.83710481,251644.716935651,2.5e+09
2.5e+09,47884.8424803689,48196.9123988074,68740.4069867882,69429.2734662908,75162.9698946971,75764.8974898687,106202.707624851,106803.508581366,139172.466734347,139782.047689764,251644.716935651,252163.158550082,2.55e+09
2.55e+09,48196.9123988074,48509.6614429623,69429.2734662908,70122.1068969057,75764.8974898687,76368.9925755598,106803.508581366,107405.147129152,139782.047689764,140391.665014887,252163.158550082,252680.453508937,2.6e+09
2.6e+09,48509.6614429623,48823.2414672432,70122.1068969057,70819.2473773241,76368.9925755598,76975.5538448409,107405.147129152,108007.910854039,140391.665014887,141001.615996215,252680.453508937,253196.858914266,2.65e+09
2.65e+09,48823.2414672432,49137.788343256,70819.2473773241,71521.0046856358,76975.5538448409,77584.8503462075,108007.910854039,108612.056196402,141001.615996215,141612.164466078,253196.858914266,253712.601502998,2.7e+09
2.7e+09,49137.788343256,49453.4237917611,71521.0046856358,72227.6616937936,77584.8503462075,78197.1248477774,108612.056196402,109217.812044553,141612.164466078,142223.544701059,253712.601502998,254227.881256053,2.75e+09
2.75e+09,49453.4237917611,49770.2570082002,72227.6616937936,72939.4774140673,78197.1248477774,78812.5968294812,109217.812044553,109825.382918937,142223.544701059,142835.964870062,254227.881256053,254742.874579891,2.8e+09
2.8e+09,49770.2570082002,50088.3861045084,72939.4774140673,73656.6897155227,78812.5968294812,79431.4651430948,109825.382918937,110434.951792828,142835.964870062,143449.610083341,254742.874579891,255257.737110816,2.85e+09
2.85e+09,50088.3861045084,50407.8993875523,73656.6897155227,74379.5177450225,79431.4651430948,80053.910375991,110434.951792828,111046.682590344,143449.610083341,144064.645088074,255257.737110816,255772.606186568,2.9e+09
2.9e+09,50407.8993875523,50728.8764923808,74379.5177450225,75108.1640839365,80053.910375991,80680.096950846,111046.682590344,111660.722398138,144064.645088074,144681.216651019,255772.606186568,256287.603024467,2.95e+09
2.95e+09,50728.8764923808,51051.3893865257,75108.1640839365,75842.8166686946,80680.096950846,81310.1749902068,111660.722398138,112277.203423191,144681.216651019,145299.455664244,256287.603024467,256802.834640826,3e+09
3e+09,51051.3893865257,51375.5032598305,75842.8166686946,76583.6505004994,81310.1749902068,81944.2819718024,112277.203423191,112896.244725521,145299.455664244,145919.47900583,256802.834640826,257318.395542257,3.05e+09
3.05e+09,51375.5032598305,51701.2773127069,76583.6505004994,77330.8291669448,81944.2819718024,82582.54419774,112896.244725521,113517.95375144,145919.47900583,146541.391183875,257318.395542257,257834.369215882,3.1e+09
3.1e+09,51701.2773127069,52028.7654542994,77330.8291669448,78084.5061959424,82582.54419774,83225.0780982518,113517.95375144,114142.427690138,146541.391183875,147165.285788863,257834.369215882,258350.829442319,3.15e+09
3.15e+09,52028.7654542994,52358.0169207668,78084.5061959424,78844.8262602296,83225.0780982518,83871.9913884305,114142.427690138,114769.754673793,147165.285788863,147791.24677662,258350.829442319,258867.841452439,3.2e+09
3.2e+09,52358.0169207668,52689.0768227566,78844.8262602296,79611.9262488096,83871.9913884305,84523.384094385,114769.754673793,115400.014839158,147791.24677662,148419.349601521,258867.841452439,259385.462946473,3.25e+09
3.25e+09,52689.0768227566,53021.9866301296,79611.9262488096,80385.9362199364,84523.384094385,85179.3494634544,115400.014839158,116033.28126652,148419.349601521,149049.66221736,259385.462946473,259903.744991796,3.3e+09
3.3e+09,53021.9866301296,53356.7846010922,80385.9362199364,81166.9802486936,85179.3494634544,85839.9747715032,116033.28126652,116669.620810132,149049.66221736,149682.245961273,259903.744991796,260422.732813827,3.35e+09
3.35e+09,53356.7846010922,53693.5061620837,81166.9802486936,81955.1771808111,85839.9747715032,86505.3420388879,116669.620810132,117309.094832625,149682.245961273,150317.15633434,260422.732813827,260942.466492736,3.4e+09
3.4e+09,53693.5061620837,54032.184244051,81955.1771808111,82750.6413031015,86505.3420388879,87175.5286653929,117309.094832625,117951.75985445,150317.15633434,150954.443690924,260942.466492736,261462.981577176,3.45e+09
3.45e+09,54032.184244051,54372.8495801047,82750.6413031015,83553.48293977,87175.5286653929,87850.6079932919,117951.75985445,118597.668128181,150954.443690924,151594.153847362,261462.981577176,261984.309624898,3.5e+09
3.5e+09,54372.8495801047,54715.5309689825,83553.48293977,84363.808982838,87850.6079932919,88530.6498066636,118597.668128181,119246.868146318,151594.153847362,152236.328619458,261984.309624898,262506.478678961,3.55e+09
3.55e+09,54715.5309689825,55060.2555082434,84363.808982838,85181.7233640194,88530.6498066636,89215.7207741836,119246.868146318,119899.405090318,152236.328619458,152881.006297073,262506.478678961,263029.513687204,3.6e+09
3.6e+09,55060.2555082434,55407.0488006673,85181.7233640194,86007.3274745786,89215.7207741836,89905.8848418016,119899.405090318,120555.321227622,152881.006297073,153528.222063166,263029.513687204,263553.436871727,3.65e+09
3.65e+09,55407.0488006673,55755.9351369402,86007.3274745786,86840.7205389811,89905.8848418016,90601.2035809903,120555.321227622,121214.656262699,153528.222063166,154178.008363791,263553.436871727,264078.268054341,3.7e+09
3.7e+09,55755.9351369402,56106.9376573503,86840.7205389811,87681.9999475038,90601.2035809903,91301.7364976162,121214.656262699,121877.447647449,154178.008363791,154830.395234767,264078.268054341,264604.02494323,3.75e+09
3.75e+09,56106.9376573503,56460.0784949107,87681.9999475038,88531.2615523994,91301.7364976162,92007.5413059058,121877.447647449,122543.730855651,154830.395234767,155485.410590115,264604.02494323,265130.723385448,3.8e+09
3.8e+09,56460.0784949107,56815.3789020457,88531.2615523994,89388.5999316996,92007.5413059058,92718.6741714806,122543.730855651,123213.539625635,155485.410590115,156143.080476712,265130.723385448,265658.377589316,3.85e+09
3.85e+09,56815.3789020457,57172.859362734,89388.5999316996,90254.1086242881,92718.6741714806,93435.1899269806,123213.539625635,123886.906174855,156143.080476712,156803.429299139,265658.377589316,266187.000320309,3.9e+09
3.9e+09,57172.859362734,57532.5396917833,90254.1086242881,91127.8803394692,93435.1899269806,94157.142263399,123886.906174855,124563.861389631,156803.429299139,157466.480018189,266187.000320309,266716.603073591,3.95e+09
3.95e+09,57532.5396917833,57894.4391227209,91127.8803394692,92010.0071438974,94157.142263399,94884.5838998968,124563.861389631,125244.434992928,157466.480018189,158132.254326151,266716.603073591,267247.196225989,4e+09
4e+09,57894.4391227209,58258.5763856099,92010.0071438974,92900.5806284172,94884.5838998968,95617.5667345494,125244.434992928,125928.655692724,158132.254326151,158800.772801555,267247.196225989,267778.789169836,4.05e+09
4.05e+09,58258.5763856099,58624.9697759559,92900.5806284172,93799.6920570723,95617.5667345494,96356.1419782018,125928.655692724,126616.55131323,158800.772801555,159472.055045817,267778.789169836,268311.39043087,4.1e+09
4.1e+09,58624.9697759559,58993.637215729,93799.6920570723,94707.4325002959,96356.1419782018,97100.3602733592,126616.55131323,127308.148910937,159472.055045817,160146.119803882,268311.39043087,268845.007772071,4.15e+09
4.15e+09,58993.637215729,59364.5963074127,94707.4325002959,95623.8929540644,97100.3602733592,97850.2717998213,127308.148910937,128003.474877257,160146.119803882,160822.985070746,268845.007772071,269379.648285117,4.2e+09
4.2e+09,59364.5963074127,59737.8643818829,95623.8929540644,96549.1644466014,97850.2717998213,98605.9263685758,128003.474877257,128702.555029322,160822.985070746,161502.668185527,269379.648285117,269915.318470943,4.25e+09
4.25e+09,59737.8643818829,60113.4585408306,96549.1644466014,97483.3381340373,98605.9263685758,99367.3735052902,128702.555029322,129405.414690308,161502.668185527,162185.185914518,269915.318470943,270452.024310686,4.3e+09
4.3e+09,60113.4585408306,60491.395694357,97483.3381340373,98426.5053862754,99367.3735052902,100134.662524593,129405.414690308,130112.078760499,162185.185914518,162870.554524535,270452.024310686,270989.77132818,4.35e+09
4.35e+09,60491.395694357,60871.6925942989,98426.5053862754,99378.7578641736,100134.662524593,100907.842596198,130112.078760499,130822.571780173,162870.554524535,163558.78984769,270989.77132818,271528.564644997,4.4e+09
4.4e+09,60871.6925942989,61254.3658637774,99378.7578641736,100340.187589027,100907.842596198,101686.962803799,130822.571780173,131536.917985264,163558.78984769,164249.907338592,271528.564644997,272068.409028924,4.45e+09
4.45e+09,61254.3658637774,61639.4320234071,100340.187589027,101310.887005225,101686.962803799,102472.072197575,131536.917985264,132255.141356618,164249.907338592,164943.922124869,272068.409028924,272609.308936662,4.5e+09
4.5e+09,61639.4320234071,62026.9075145498,101310.887005225,102290.949036862,102472.072197575,103263.219841023,132255.141356618,132977.26566362,164943.922124869,165640.849051791,272609.308936662,273151.268551435,4.55e+09
4.55e+09,62026.9075145498,62416.8087199557,102290.949036862,103280.467138988,103263.219841023,104060.45485278,132977.26566362,133703.314502816,165640.849051791,166340.702721687,273151.268551435,273694.291816116,4.6e+09
4.6e+09,62416.8087199557,62809.1519820944,103280.467138988,104279.535344113,104060.45485278,104863.826444,133703.314502816,134433.311332128,166340.702721687,167043.497528764,273694.291816116,274238.382462398,4.65e+09
4.65e+09,62809.1519820944,63203.953619441,104279.535344113,105288.248304512,104863.826444,105673.383951802,134433.311332128,135167.279501175,167043.497528764,167749.247689875,274238.382462398,274783.5440365,4.7e+09
4.7e+09,63203.953619441,63601.2299409557,105288.248304512,106306.701330803,105673.383951802,106489.17686924,135167.279501175,135905.242278144,167749.247689875,168457.967271695,274783.5440365,275329.779921792,4.75e+09
4.75e+09,63601.2299409557,64000.9972589651,106306.701330803,107334.990427236,106489.17686924,107311.25487219,135905.242278144,136647.222873617,168457.967271695,169169.670214751,275329.779921792,275877.093358739,4.8e+09
4.8e+09,64000.9972589651,64403.2719006302,107334.990427236,108373.212324076,107311.25487219,108139.667843513,136647.222873617,137393.244461711,169169.670214751,169884.370354648,275877.093358739,276425.487462455,4.85e+09
4.85e+09,64403.2719006302,64808.0702181645,108373.212324076,109421.4645074,108139.667843513,108974.465894807,137393.244461711,138143.330198839,169884.370354648,170602.081440839,276425.487462455,276974.965238175,4.9e+09
4.9e+09,64808.0702181645,65215.4085979478,109421.4645074,110479.845246631,108974.465894807,109815.699386021,138143.330198839,138897.503240369,170602.081440839,171322.817153223,276974.965238175,277525.529594872,4.95e+09
4.95e+09,65215.4085979478,65625.3034686624,110479.845246631,111548.453620057,109815.699386021,110663.418943189,138897.503240369,139655.786755428,171322.817153223,172046.591116817,277525.529594872,278077.183357266,5e+09
5e+09,65625.3034686624,66037.7713085664,111548.453620057,112627.389538582,110663.418943189,111517.67547449,139655.786755428,140418.203940068,172046.591116817,172773.41691474,278077.183357266,278629.929276384,5.05e+09
5.05e+09,66037.7713085664,66452.8286520036,112627.389538582,113716.75376791,111517.67547449,112378.520184831,140418.203940068,141184.778028981,172773.41691474,173503.308099704,278629.929276384,279183.770038878,5.1e+09
5.1e+09,66452.8286520036,66870.4920952376,113716.75376791,114816.647949364,112378.520184831,113246.004589129,141184.778028981,141955.532305931,173503.308099704,174236.278204176,279183.770038878,279738.708275224,5.15e+09
5.15e+09,66870.4920952376,67290.7783016911,114816.647949364,115927.174619483,113246.004589129,114120.180524442,141955.532305931,142730.490113061,174236.278204176,174972.340749384,279738.708275224,280294.746566944,5.2e+09
5.2e+09,67290.7783016911,67713.7040066568,115927.174619483,117048.437228561,114120.180524442,115001.100161074,142730.490113061,143509.674859198,174972.340749384,175711.509253294,280294.746566944,280851.887452973,5.25e+09
5.25e+09,67713.7040066568,68139.2860215435,117048.437228561,118180.540158259,115001.100161074,115888.816012789,143509.674859198,144293.110027272,175711.509253294,176453.797237676,280851.887452973,281410.133435263,5.3e+09
5.3e+09,68139.2860215435,68567.5412377101,118180.540158259,119323.588738393,115888.816012789,116783.380946229,144293.110027272,145080.81918096,176453.797237676,177199.218234372,281410.133435263,281969.486983725,5.35e+09
5.35e+09,68567.5412377101,68998.4866299367,119323.588738393,120477.689263012,116783.380946229,117684.848189627,145080.81918096,145872.825970642,177199.218234372,177947.785790857,281969.486983725,282529.950540572,5.4e+09
5.4e+09,68998.4866299367,69432.1392595748,120477.689263012,121642.949005856,117684.848189627,118593.271340912,145872.825970642,146669.154138745,177947.785790857,178699.513475175,282529.950540572,283091.526524162,5.45e+09
5.45e+09,69432.1392595748,69868.5162774135,121642.949005856,122819.47623527,118593.271340912,119508.70437526,146669.154138745,147469.827524549,178699.513475175,179454.414880327,283091.526524162,283654.217332366,5.5e+09
5.5e+09,69868.5162774135,70307.6349262957,122819.47623527,124007.380228653,119508.70437526,120431.201652177,147469.827524549,148274.870068526,179454.414880327,180212.503628171,283654.217332366,284218.025345549,5.55e+09
5.55e+09,70307.6349262957,70749.5125435145,124007.380228653,125206.771286506,120431.201652177,121360.817922151,148274.870068526,149084.305816256,180212.503628171,180973.793372894,284218.025345549,284782.952929187,5.6e+09
5.6e+09,70749.5125435145,71194.1665630131,125206.771286506,126417.760746127,121360.817922151,122297.608332939,149084.305816256,149898.15892197,180973.793372894,181738.297804104,284782.952929187,285349.002436182,5.65e+09
5.65e+09,71194.1665630131,71641.6145174146,126417.760746127,127640.460995014,122297.608332939,123241.62843553,149898.15892197,150716.453651774,181738.297804104,182506.030649596,285349.002436182,285916.176208892,5.7e+09
5.7e+09,71641.6145174146,72091.8740398995,127640.460995014,128874.985484022,123241.62843553,124192.934189821,150716.453651774,151539.214386577,182506.030649596,183277.00567781,285916.176208892,286484.47658093,5.75e+09
5.75e+09,72091.8740398995,72544.9628659495,128874.985484022,130121.448740303,124192.934189821,125151.581970044,151539.214386577,152366.465624777,183277.00567781,184051.236700042,286484.47658093,287053.905878741,5.8e+09
5.8e+09,72544.9628659495,73000.8988349751,130121.448740303,131379.966380077,125151.581970044,126117.628569977,152366.465624777,153198.231984711,184051.236700042,184828.737572419,287053.905878741,287624.466422996,5.85e+09
5.85e+09,73000.8988349751,73459.6998918383,131379.966380077,132650.655121259,126117.628569977,127091.131207965,153198.231984711,154034.538206914,184828.737572419,185609.522197672,287624.466422996,288196.160529825,5.9e+09
5.9e+09,73459.6998918383,73921.3840882853,132650.655121259,133933.632795972,127091.131207965,128072.147531776,154034.538206914,154875.409156203,185609.522197672,186393.604526735,288196.160529825,288768.990511894,5.95e+09
5.95e+09,73921.3840882853,74385.9695842994,133933.632795972,135229.018362977,128072.147531776,129060.735623313,154875.409156203,155720.869823606,186393.604526735,187180.998560179,288768.990511894,289342.958679361,6e+09
6e+09,74385.9695842994,74853.4746493831,135229.018362977,136536.931920027,129060.735623313,130056.954003203,155720.869823606,156570.945328163,187180.998560179,187971.718349515,289342.958679361,289918.067340722,6.05e+09
6.05e+09,74853.4746493831,75323.9176637793,136536.931920027,137857.49471619,130056.954003203,131060.861635286,156570.945328163,157425.660918594,187971.718349515,188765.777998371,289918.067340722,290494.318803551,6.1e+09
6.1e+09,75323.9176637793,75797.3171196382,137857.49471619,139190.82916413,131060.861635286,132072.517930999,157425.660918594,158285.041974879,188765.777998371,189563.191663562,290494.318803551,291071.715375154,6.15e+09
6.15e+09,75797.3171196382,76273.6916221378,139190.82916413,140537.058852389,132072.517930999,133091.982753699,158285.041974879,159149.114009736,189563.191663562,190363.973556062,291071.715375154,291650.25936315,6.2e+09
6.2e+09,76273.6916221378,76753.0598905628,140537.058852389,141896.308557669,133091.982753699,134119.316422914,159149.114009736,160017.90267002,190363.973556062,191168.137941897,291650.25936315,292229.953075979,6.25e+09
6.25e+09,76753.0598905628,77235.4407593474,141896.308557669,143268.704257127,134119.316422914,135154.579718533,160017.90267002,160891.43373805,191168.137941897,191975.69914296,292229.953075979,292810.798823355,6.3e+09
6.3e+09,77235.4407593474,77720.8531790879,143268.704257127,144654.373140699,135154.579718533,136197.833884965,160891.43373805,161769.733132881,191975.69914296,192786.671537764,292810.798823355,293392.798916662,6.35e+09
6.35e+09,77720.8531790879,78209.3162175277,144654.373140699,146053.443623472,136197.833884965,137249.140635251,161769.733132881,162652.826911514,192786.671537764,193601.069562137,293392.798916662,293975.955669305,6.4e+09
6.4e+09,78209.3162175277,78700.8490605191,146053.443623472,147466.045358089,137249.140635251,138308.56215515,162652.826911514,163540.741270058,193601.069562137,194418.907709864,293975.955669305,294560.271397023,6.45e+09
6.45e+09,78700.8490605191,79195.4710129654,147466.045358089,148892.309247224,138308.56215515,139376.161107209,163540.741270058,164433.50254486,194418.907709864,195240.200533288,294560.271397023,295145.748418162,6.5e+09
6.5e+09,79195.4710129654,79693.2014997455,148892.309247224,150332.367456113,139376.161107209,140452.000634803,164433.50254486,165331.137213584,195240.200533288,196064.962643867,295145.748418162,295732.389053922,6.55e+09
6.55e+09,79693.2014997455,80194.0600666242,150332.367456113,151786.35342516,140452.000634803,141536.144366182,165331.137213584,166233.671896275,196064.962643867,196893.208712707,295732.389053922,296320.195628563,6.6e+09
6.6e+09,80194.0600666242,80698.0663811499,151786.35342516,153254.40188262,141536.144366182,142628.656418494,166233.671896275,167141.133356382,196893.208712707,197724.953471051,296320.195628563,296909.170469607,6.65e+09
6.65e+09,80698.0663811499,81205.2402335424,153254.40188262,154736.648857365,142628.656418494,143729.601401823,167141.133356382,168053.548501766,197724.953471051,198560.211710752,296909.170469607,297499.315907999,6.7e+09
6.7e+09,81205.2402335424,81715.6015375718,154736.648857365,156233.231691737,143729.601401823,144839.044423213,168053.548501766,168970.944385683,198560.211710752,199398.998284719,297499.315907999,298090.63427826,6.75e+09
6.75e+09,81715.6015375718,82229.1703314304,156233.231691737,157744.2890545,144839.044423213,145957.051090712,168970.944385683,169893.34820775,199398.998284719,200241.328107341,298090.63427826,298683.127918621,6.8e+09
6.8e+09,82229.1703314304,82745.9667785998,157744.2890545,159269.960953881,145957.051090712,147083.687517412,169893.34820775,170820.787314902,200241.328107341,201087.216154895,298683.127918621,299276.79917114,6.85e+09
6.85e+09,82745.9667785998,83266.0111687126,159269.960953881,160810.388750723,147083.687517412,148219.020325507,170820.787314902,171753.289202327,201087.216154895,201936.677465942,299276.79917114,299871.650381805,6.9e+09
6.9e+09,83266.0111687126,83789.3239184112,160810.388750723,162365.715171732,148219.020325507,149363.116650362,171753.289202327,172690.881514396,201936.677465942,202789.7271417,299871.650381805,300467.683900635,6.95e+09
6.95e+09,83789.3239184112,84315.9255722054,162365.715171732,163936.084322841,149363.116650362,150516.044144597,172690.881514396,173633.592045586,202789.7271417,203646.380346413,300467.683900635,301064.902081757,7e+09
7e+09,84315.9255722054,84845.8368033269,163936.084322841,165521.64170269,150516.044144597,151677.870982193,173633.592045586,174581.44874139,203646.380346413,204506.652307709,301064.902081757,301663.307283484,7.05e+09
7.05e+09,84845.8368033269,85379.0784145846,165521.64170269,167122.534216205,151677.870982193,152848.665862606,174581.44874139,175534.479699225,204506.652307709,205370.558316943,301663.307283484,302262.901868381,7.1e+09
7.1e+09,85379.0784145846,85915.6713392192,167122.534216205,168738.910188314,152848.665862606,154028.498014918,175534.479699225,176492.713169334,205370.558316943,206238.11372954,302262.901868381,302863.688203328,7.15e+09
