SIC Code 2ch,SIC Code 4ch,Industry Description 2ch,Industry Description 4ch,Industry Group,Industry
16,1623,"Heavy Cnstrctn, Except Building Construction - Contractors","Water, Sewer, and Utility Lines",In-Person Industries,Construction
16,1629,"Heavy Cnstrctn, Except Building Construction - Contractors","Heavy Construction, NEC",In-Person Industries,Construction
17,1711,Construction - Special Trade Contractors,"Plumbing, Heating and Air-Conditioning",In-Person Industries,Construction
17,1721,Construction - Special Trade Contractors,Painting and Paper Hanging,In-Person Industries,Construction
17,1731,Construction - Special Trade Contractors,Electrical Work,In-Person Industries,Construction
17,1741,Construction - Special Trade Contractors,"Masonry, Stone Setting, and Other Stone Work",In-Person Industries,Construction
17,1742,Construction - Special Trade Contractors,"Plastering, Drywall, Acoustical, and Insulation Work",In-Person Industries,Construction
17,1743,Construction - Special Trade Contractors,"Terrazzo, Tile, Marble, and Mosaic Work",In-Person Industries,Construction
17,1751,Construction - Special Trade Contractors,Carpentry Work,In-Person Industries,Construction
17,1752,Construction - Special Trade Contractors,"Floor Laying and Other Floor Work, NEC",In-Person Industries,Construction
17,1761,Construction - Special Trade Contractors,"Roofing, Siding, and Sheet Metal Work",In-Person Industries,Construction
17,1771,Construction - Special Trade Contractors,Concrete Work,In-Person Industries,Construction
17,1781,Construction - Special Trade Contractors,Water Well Drilling,In-Person Industries,Construction
17,1791,Construction - Special Trade Contractors,Structural Steel Erection,In-Person Industries,Construction
17,1793,Construction - Special Trade Contractors,Glass and Glazing Work,In-Person Industries,Construction
17,1794,Construction - Special Trade Contractors,Excavation Work,In-Person Industries,Construction
17,1795,Construction - Special Trade Contractors,Wrecking and Demolition Work,In-Person Industries,Construction
17,1796,Construction - Special Trade Contractors,"Installation or Erection of Building Equipment, Not Elsewhere",In-Person Industries,Construction
17,1799,Construction - Special Trade Contractors,"Special Trade Contractors, NEC",In-Person Industries,Construction
20,2011,Food and Kindred Products,Meat Packing Plants,Manufacturing,Consumable Goods: Food & Perishable
20,2013,Food and Kindred Products,Sausages and Other Prepared Meats,Manufacturing,Consumable Goods: Food & Perishable
20,2015,Food and Kindred Products,Poultry Slaughtering and Processing,Manufacturing,Consumable Goods: Food & Perishable
20,2021,Food and Kindred Products,Creamery Butter,Manufacturing,Consumable Goods: Food & Perishable
20,2022,Food and Kindred Products,Cheese; Natural and Processed,Manufacturing,Consumable Goods: Food & Perishable
20,2023,Food and Kindred Products,"Dry, Condensed, Evaporated Products",Manufacturing,Consumable Goods: Food & Perishable
20,2024,Food and Kindred Products,Ice Cream and Frozen Desserts,Manufacturing,Consumable Goods: Food & Perishable
20,2026,Food and Kindred Products,Fluid Milk,Manufacturing,Consumable Goods: Food & Perishable
20,2032,Food and Kindred Products,Canned Specialties,Manufacturing,Consumable Goods: Food & Perishable
20,2033,Food and Kindred Products,Canned Fruits and Specialties,Manufacturing,Consumable Goods: Food & Perishable
20,2034,Food and Kindred Products,"Dehydrated Fruits, Vegetables, Soups",Manufacturing,Consumable Goods: Food & Perishable
20,2035,Food and Kindred Products,"Pickles, Sauces, and Salad Dressings",Manufacturing,Consumable Goods: Food & Perishable
20,2037,Food and Kindred Products,Frozen Fruits and Vegetables,Manufacturing,Consumable Goods: Food & Perishable
20,2038,Food and Kindred Products,"Frozen Specialties, NEC",Manufacturing,Consumable Goods: Food & Perishable
20,2041,Food and Kindred Products,Flour and Other Grain Mill Products,Manufacturing,Consumable Goods: Food & Perishable
20,2043,Food and Kindred Products,Cereal Breakfast Foods,Manufacturing,Consumable Goods: Food & Perishable
20,2044,Food and Kindred Products,Rice Milling,Manufacturing,Consumable Goods: Food & Perishable
20,2045,Food and Kindred Products,Prepared Flour Mixes and Doughs,Manufacturing,Consumable Goods: Food & Perishable
20,2046,Food and Kindred Products,Wet Corn Milling,Manufacturing,Consumable Goods: Food & Perishable
20,2047,Food and Kindred Products,Dog and Cat Food,Manufacturing,Consumable Goods: Food & Perishable
20,2048,Food and Kindred Products,"Prepared Feeds, NEC",Manufacturing,Consumable Goods: Food & Perishable
20,2051,Food and Kindred Products,"Bread, Cake, and Related Products",Manufacturing,Consumable Goods: Food & Perishable
20,2052,Food and Kindred Products,Cookies and Crackers,Manufacturing,Consumable Goods: Food & Perishable
20,2053,Food and Kindred Products,"Frozen Bakery Products, Except Bread",Manufacturing,Consumable Goods: Food & Perishable
20,2061,Food and Kindred Products,Raw Cane Sugar,Manufacturing,Consumable Goods: Food & Perishable
20,2062,Food and Kindred Products,Cane Sugar Refining,Manufacturing,Consumable Goods: Food & Perishable
20,2063,Food and Kindred Products,Beet Sugar,Manufacturing,Consumable Goods: Food & Perishable
20,2064,Food and Kindred Products,Candy and Other Confectionery Products,Manufacturing,Consumable Goods: Food & Perishable
20,2066,Food and Kindred Products,Chocolate and Cocoa Products,Manufacturing,Consumable Goods: Food & Perishable
20,2067,Food and Kindred Products,Chewing Gum,Manufacturing,Consumable Goods: Food & Perishable
20,2068,Food and Kindred Products,Salted and Roasted Nuts and Seeds,Manufacturing,Consumable Goods: Food & Perishable
20,2074,Food and Kindred Products,Cottonseed Oil Mills,Manufacturing,Consumable Goods: Food & Perishable
20,2075,Food and Kindred Products,Soybean Oil Mills,Manufacturing,Consumable Goods: Food & Perishable
20,2076,Food and Kindred Products,"Vegetable Oil Mills, NEC",Manufacturing,Consumable Goods: Food & Perishable
20,2077,Food and Kindred Products,Animal and Marine Fats and Oils,Manufacturing,Consumable Goods: Food & Perishable
20,2079,Food and Kindred Products,Edible Fats and Oils,Manufacturing,Consumable Goods: Food & Perishable
20,2082,Food and Kindred Products,Malt Beverages,Manufacturing,Consumable Goods: Alcohol & Tobacco
20,2083,Food and Kindred Products,Malt,Manufacturing,Consumable Goods: Alcohol & Tobacco
20,2084,Food and Kindred Products,"Wines, Brandy, and Brandy Spirits",Manufacturing,Consumable Goods: Alcohol & Tobacco
20,2085,Food and Kindred Products,Distilled and Blended Liquors,Manufacturing,Consumable Goods: Alcohol & Tobacco
20,2086,Food and Kindred Products,Bottled and Canned Soft Drinks,Manufacturing,Consumable Goods: Food & Perishable
20,2087,Food and Kindred Products,"Flavoring Extracts and Syrups, NEC",Manufacturing,Consumable Goods: Food & Perishable
20,2091,Food and Kindred Products,Canned and Cured Fish and Seafoods,Manufacturing,Consumable Goods: Food & Perishable
20,2092,Food and Kindred Products,Fresh or Frozen Packaged Fish,Manufacturing,Consumable Goods: Food & Perishable
20,2095,Food and Kindred Products,Roasted Coffee,Manufacturing,Consumable Goods: Food & Perishable
20,2096,Food and Kindred Products,Potato Chips and Similar Snacks,Manufacturing,Consumable Goods: Food & Perishable
20,2097,Food and Kindred Products,Manufactured Ice,Manufacturing,Consumable Goods: Food & Perishable
20,2098,Food and Kindred Products,Macaroni and Spaghetti,Manufacturing,Consumable Goods: Food & Perishable
20,2099,Food and Kindred Products,"Food Preparations, NEC",Manufacturing,Consumable Goods: Food & Perishable
21,2111,Tobacco Products,Cigarettes,Manufacturing,Consumable Goods: Alcohol & Tobacco
21,2121,Tobacco Products,Cigars,Manufacturing,Consumable Goods: Alcohol & Tobacco
21,2131,Tobacco Products,Chewing and Smoking Tobacco,Manufacturing,Consumable Goods: Alcohol & Tobacco
21,2141,Tobacco Products,Tobacco Stemming and Redrying,Manufacturing,Consumable Goods: Alcohol & Tobacco
22,2211,Textile Mill Products,"Broadwoven Fabric Mills, Cotton",Manufacturing,Textile Mill Products
22,2221,Textile Mill Products,"Broadwoven Fabric Mills, Manmade",Manufacturing,Textile Mill Products
22,2231,Textile Mill Products,"Broadwoven Fabric Mills, Wool",Manufacturing,Textile Mill Products
22,2241,Textile Mill Products,Narrow Fabric Mills,Manufacturing,Textile Mill Products
22,2251,Textile Mill Products,"Women's Hosiery, Except Socks",Manufacturing,Finished Goods: Apparel & Accessories
22,2252,Textile Mill Products,"Hosiery, NEC",Manufacturing,Finished Goods: Apparel & Accessories
22,2253,Textile Mill Products,Knit Outerwear Mills,Manufacturing,Finished Goods: Apparel & Accessories
22,2254,Textile Mill Products,Knit Underwear Mills,Manufacturing,Finished Goods: Apparel & Accessories
22,2257,Textile Mill Products,Weft Knit Fabric Mills,Manufacturing,Textile Mill Products
22,2258,Textile Mill Products,Lace and Warp Knit Fabric Mills,Manufacturing,Textile Mill Products
22,2259,Textile Mill Products,"Knitting Mills, NEC",Manufacturing,Textile Mill Products
22,2261,Textile Mill Products,"Finishing Plants, Cotton",Manufacturing,Textile Mill Products
22,2262,Textile Mill Products,"Finishing Plants, Manmade",Manufacturing,Textile Mill Products
22,2269,Textile Mill Products,"Finishing Plants, NEC",Manufacturing,Textile Mill Products
22,2273,Textile Mill Products,Carpets and Rugs,Manufacturing,Textile Mill Products
22,2281,Textile Mill Products,Yarn Spinning Mills,Manufacturing,Textile Mill Products
22,2282,Textile Mill Products,Throwing and Winding Mills,Manufacturing,Textile Mill Products
22,2284,Textile Mill Products,Thread Mills,Manufacturing,Textile Mill Products
22,2295,Textile Mill Products,"Coated Fabrics, Not Rubberized",Manufacturing,Textile Mill Products
22,2296,Textile Mill Products,Tire Cord and Fabrics,Manufacturing,Textile Mill Products
22,2297,Textile Mill Products,Nonwoven Fabrics,Manufacturing,Textile Mill Products
22,2298,Textile Mill Products,Cordage and Twine,Manufacturing,Textile Mill Products
22,2299,Textile Mill Products,"Textile Goods, NEC",Manufacturing,Textile Mill Products
23,2311,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Men's and Boy's Suits and Coats,Manufacturing,Finished Goods: Apparel & Accessories
23,2321,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Men's and Boy's Furnishings,Manufacturing,Finished Goods: Apparel & Accessories
23,2322,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Men's and Boy's Underwear and Nightwear,Manufacturing,Finished Goods: Apparel & Accessories
23,2323,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Men's and Boy's Neckwear,Manufacturing,Finished Goods: Apparel & Accessories
23,2325,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Men's and Boy's Trousers and Slacks,Manufacturing,Finished Goods: Apparel & Accessories
23,2326,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Men's and Boy's Work Clothing,Manufacturing,Finished Goods: Apparel & Accessories
23,2329,"Apparel, Finished Prdcts from Fabrics & Similar Materials","Men's and Boy's Clothing, NEC",Manufacturing,Finished Goods: Apparel & Accessories
23,2331,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Women's and Misses' Blouses and Shirts,Manufacturing,Finished Goods: Apparel & Accessories
23,2335,"Apparel, Finished Prdcts from Fabrics & Similar Materials","Women's, Junior's, and Misses' Dresses",Manufacturing,Finished Goods: Apparel & Accessories
23,2337,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Women's and Misses' Suits and Coats,Manufacturing,Finished Goods: Apparel & Accessories
23,2339,"Apparel, Finished Prdcts from Fabrics & Similar Materials","Women's and Misses' Outerwear, NEC",Manufacturing,Finished Goods: Apparel & Accessories
23,2341,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Women's and Children's Underwear,Manufacturing,Finished Goods: Apparel & Accessories
23,2342,"Apparel, Finished Prdcts from Fabrics & Similar Materials","Bras, Girdles, and Allied Garments",Manufacturing,Finished Goods: Apparel & Accessories
23,2353,"Apparel, Finished Prdcts from Fabrics & Similar Materials","Hats, Caps, and Millinery",Manufacturing,Finished Goods: Apparel & Accessories
23,2361,"Apparel, Finished Prdcts from Fabrics & Similar Materials","Girl's and Children's Dresses, Blouses",Manufacturing,Finished Goods: Apparel & Accessories
23,2369,"Apparel, Finished Prdcts from Fabrics & Similar Materials","Girl's and Children's Outerwear, NEC",Manufacturing,Finished Goods: Apparel & Accessories
23,2371,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Fur Goods,Manufacturing,Finished Goods: Apparel & Accessories
23,2381,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Fabric Dress and Work Gloves,Manufacturing,Finished Goods: Apparel & Accessories
23,2384,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Robes and Dressing Gowns,Manufacturing,Finished Goods: Apparel & Accessories
23,2385,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Waterproof Outerwear,Manufacturing,Finished Goods: Apparel & Accessories
23,2386,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Leather and Sheep-lined Clothing,Manufacturing,Finished Goods: Apparel & Accessories
23,2387,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Apparel Belts,Manufacturing,Finished Goods: Apparel & Accessories
23,2389,"Apparel, Finished Prdcts from Fabrics & Similar Materials","Apparel and Accessories, NEC",Manufacturing,Finished Goods: Apparel & Accessories
23,2391,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Curtains and Draperies,Manufacturing,Finished Goods: Apparel & Accessories
23,2392,"Apparel, Finished Prdcts from Fabrics & Similar Materials","Household Furnishings, NEC",Manufacturing,Finished Goods: Apparel & Accessories
23,2393,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Textile Bags,Manufacturing,Finished Goods: Apparel & Accessories
23,2394,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Canvas and Related Products,Manufacturing,Finished Goods: Apparel & Accessories
23,2395,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Pleating and Stitching,Manufacturing,Finished Goods: Apparel & Accessories
23,2396,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Automotive and Apparel Trimmings,Manufacturing,Finished Goods: Apparel & Accessories
23,2397,"Apparel, Finished Prdcts from Fabrics & Similar Materials",Schiffli Machine Embroideries,Manufacturing,Finished Goods: Apparel & Accessories
23,2399,"Apparel, Finished Prdcts from Fabrics & Similar Materials","Fabricated Textile Products, NEC",Manufacturing,Finished Goods: Apparel & Accessories
24,2411,"Lumber and Wood Products, Except Furniture",Logging,Manufacturing,Construction Materials
24,2421,"Lumber and Wood Products, Except Furniture","Sawmills and Planing Mills, General",Manufacturing,Construction Materials
24,2426,"Lumber and Wood Products, Except Furniture",Hardwood Dimension and Flooring Mills,Manufacturing,Construction Materials
24,2429,"Lumber and Wood Products, Except Furniture","Special Product Sawmills, NEC",Manufacturing,Construction Materials
24,2431,"Lumber and Wood Products, Except Furniture",Millwork,Manufacturing,Construction Materials
24,2434,"Lumber and Wood Products, Except Furniture",Wood Kitchen Cabinets,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
24,2435,"Lumber and Wood Products, Except Furniture",Hardwood Veneer and Plywood,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
24,2436,"Lumber and Wood Products, Except Furniture",Softwood Veneer and Plywood,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
24,2439,"Lumber and Wood Products, Except Furniture","Structural Wood Members, NEC",Manufacturing,Construction Materials
24,2441,"Lumber and Wood Products, Except Furniture",Nailed Wood Boxes and Shook,Manufacturing,Construction Materials
24,2448,"Lumber and Wood Products, Except Furniture",Wood Pallets and Skids,Manufacturing,Construction Materials
24,2449,"Lumber and Wood Products, Except Furniture","Wood Containers, NEC",Manufacturing,Construction Materials
24,2451,"Lumber and Wood Products, Except Furniture",Mobile Homes,Manufacturing,Construction Materials
24,2452,"Lumber and Wood Products, Except Furniture",Prefabricated Wood Buildings,Manufacturing,Construction Materials
24,2491,"Lumber and Wood Products, Except Furniture",Wood Preserving,Manufacturing,Construction Materials
24,2493,"Lumber and Wood Products, Except Furniture",Reconstituted Wood Products,Manufacturing,Construction Materials
24,2499,"Lumber and Wood Products, Except Furniture","Wood Products, NEC",Manufacturing,Construction Materials
25,2511,Furniture and Fixtures,Wood Household Furniture,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
25,2512,Furniture and Fixtures,Upholstered Household Furniture,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
25,2514,Furniture and Fixtures,Metal Household Furniture,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
25,2515,Furniture and Fixtures,Mattresses and Bedsprings,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
25,2517,Furniture and Fixtures,Wood Television and Radio Cabinets,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
25,2519,Furniture and Fixtures,"Household Furniture, NEC",Manufacturing,Finished Goods: Home Goods/Decor & Recreation
25,2521,Furniture and Fixtures,Wood Office Furniture,Manufacturing,Finished Goods: Home Goods/Decor & Recreation
25,2522,Furniture and Fixtures,"Office Furniture, Except Wood",Manufacturing,Finished Goods: Home Goods/Decor & Recreation
