limit,next_limit,low,high
43500000,44000000,5.867,6.481
44000000,44500000,5.894,6.51
44500000,45000000,5.92,6.539
45000000,45500000,5.946,6.568
45500000,46000000,5.971,6.596
46000000,46500000,5.997,6.624
46500000,47000000,6.022,6.652
47000000,47500000,6.047,6.679
47500000,48000000,6.071,6.706
48000000,48500000,6.096,6.734
48500000,49000000,6.12,6.76
49000000,49500000,6.144,6.787
49500000,50000000,6.168,6.813
50000000,50500000,6.191,6.839
50500000,51000000,6.215,6.865
51000000,51500000,6.238,6.891
51500000,52000000,6.261,6.916
52000000,52500000,6.284,6.941
52500000,53000000,6.306,6.966
53000000,53500000,6.329,6.991
53500000,54000000,6.351,7.015
54000000,54500000,6.373,7.039
54500000,55000000,6.395,7.064
55000000,55500000,6.416,7.087
55500000,56000000,6.438,7.111
56000000,56500000,6.459,7.135
56500000,57000000,6.48,7.158
57000000,57500000,6.501,7.181
57500000,58000000,6.521,7.204
58000000,58500000,6.542,7.226
58500000,59000000,6.562,7.249
59000000,59500000,6.583,7.271
59500000,60000000,6.603,7.293
60000000,60500000,6.622,7.315
60500000,61000000,6.642,7.337
61000000,61500000,6.662,7.359
61500000,62000000,6.681,7.38
62000000,62500000,6.7,7.401
62500000,63000000,6.719,7.422
63000000,63500000,6.738,7.443
63500000,64000000,6.757,7.464
64000000,64500000,6.776,7.484
64500000,65000000,6.794,7.505
65000000,65500000,6.812,7.525
65500000,66000000,6.831,7.545
66000000,66500000,6.849,7.565
66500000,67000000,6.866,7.585
67000000,67500000,6.884,7.604
67500000,68000000,6.902,7.624
68000000,68500000,6.919,7.643
68500000,69000000,6.937,7.662
69000000,69500000,6.954,7.681
69500000,70000000,6.971,7.7
70000000,70500000,6.988,7.719
70500000,71000000,7.005,7.737
71000000,71500000,7.021,7.756
71500000,72000000,7.038,7.774
72000000,72500000,7.054,7.792
72500000,73000000,7.07,7.81
73000000,73500000,7.087,7.828
73500000,74000000,7.103,7.846
74000000,74500000,7.119,7.863
74500000,75000000,7.134,7.881
75000000,75500000,7.15,7.898
75500000,76000000,7.166,7.915
76000000,76500000,7.181,7.932
76500000,77000000,7.196,7.949
77000000,77500000,7.212,7.966
77500000,78000000,7.227,7.983
78000000,78500000,7.242,7.999
78500000,79000000,7.257,8.016
79000000,79500000,7.271,8.032
79500000,80000000,7.286,8.048
80000000,80500000,7.3,8.064
80500000,81000000,7.315,8.08
81000000,81500000,7.329,8.096
81500000,82000000,7.343,8.112
82000000,82500000,7.358,8.127
82500000,83000000,7.372,8.143
83000000,83500000,7.385,8.158
83500000,84000000,7.399,8.173
84000000,84500000,7.413,8.189
84500000,85000000,7.427,8.204
85000000,85500000,7.44,8.218
85500000,86000000,7.453,8.233
86000000,86500000,7.467,8.248
86500000,87000000,7.48,8.263
87000000,87500000,7.493,8.277
87500000,88000000,7.506,8.291
88000000,88500000,7.519,8.306
88500000,89000000,7.532,8.32
89000000,89500000,7.545,8.334
89500000,90000000,7.557,8.348
90000000,90500000,7.57,8.362
90500000,91000000,7.582,8.375
91000000,91500000,7.594,8.389
91500000,92000000,7.607,8.403
92000000,92500000,7.619,8.416
92500000,93000000,7.631,8.429
93000000,93500000,7.643,8.443
93500000,94000000,7.655,8.456
94000000,94500000,7.667,8.469
94500000,95000000,7.678,8.482
95000000,95500000,7.69,8.495
95500000,96000000,7.702,8.507
96000000,96500000,7.713,8.52
96500000,97000000,7.725,8.533
97000000,97500000,7.736,8.545
97500000,98000000,7.747,8.558
98000000,98500000,7.758,8.57
98500000,99000000,7.769,8.582
99000000,99500000,7.78,8.594
99500000,100000000,7.791,8.606
100000000,100500000,7.802,8.618
100500000,101000000,7.815,8.632
101000000,101500000,7.828,8.646
101500000,102000000,7.84,8.66
102000000,102500000,7.853,8.674
102500000,103000000,7.865,8.688
103000000,103500000,7.877,8.702
103500000,104000000,7.89,8.715
104000000,104500000,7.902,8.729
104500000,105000000,7.914,8.742
105000000,105500000,7.926,8.755
105500000,106000000,7.938,8.769
106000000,106500000,7.95,8.782
106500000,107000000,7.962,8.795
107000000,107500000,7.974,8.808
107500000,108000000,7.986,8.821
108000000,108500000,7.997,8.834
108500000,109000000,8.009,8.847
109000000,109500000,8.02,8.859
109500000,110000000,8.032,8.872
110000000,110500000,8.043,8.885
110500000,111000000,8.055,8.897
111000000,111500000,8.066,8.91
111500000,112000000,8.077,8.922
112000000,112500000,8.088,8.935
112500000,113000000,8.099,8.947
113000000,113500000,8.11,8.959
113500000,114000000,8.121,8.971
114000000,114500000,8.132,8.983
114500000,115000000,8.143,8.995
115000000,115500000,8.154,9.007
115500000,116000000,8.165,9.019
116000000,116500000,8.176,9.031
116500000,117000000,8.186,9.043
117000000,117500000,8.197,9.054
117500000,118000000,8.207,9.066
118000000,118500000,8.218,9.077
118500000,119000000,8.228,9.089
119000000,119500000,8.238,9.1
119500000,120000000,8.249,9.112
120000000,120500000,8.259,9.123
120500000,121000000,8.269,9.134
121000000,121500000,8.279,9.145
121500000,122000000,8.289,9.157
122000000,122500000,8.299,9.168
122500000,123000000,8.309,9.179
123000000,123500000,8.319,9.19
123500000,124000000,8.329,9.2
124000000,124500000,8.339,9.211
124500000,125000000,8.349,9.222
125000000,125500000,8.358,9.233
125500000,126000000,8.368,9.243
126000000,126500000,8.377,9.254
126500000,127000000,8.387,9.264
127000000,127500000,8.396,9.275
127500000,128000000,8.406,9.285
128000000,128500000,8.415,9.296
128500000,129000000,8.425,9.306
129000000,129500000,8.434,9.316
129500000,130000000,8.443,9.326
130000000,130500000,8.452,9.336
130500000,131000000,8.461,9.347
131000000,131500000,8.47,9.357
131500000,132000000,8.479,9.367
132000000,132500000,8.488,9.376
132500000,133000000,8.497,9.386
133000000,133500000,8.506,9.396
133500000,134000000,8.515,9.406
134000000,134500000,8.524,9.416
134500000,135000000,8.532,9.425
135000000,135500000,8.541,9.435
135500000,136000000,8.55,9.444
136000000,136500000,8.558,9.454
136500000,137000000,8.567,9.463
137000000,137500000,8.575,9.473
137500000,138000000,8.584,9.482
138000000,138500000,8.592,9.491
138500000,139000000,8.601,9.5
139000000,139500000,8.609,9.51
139500000,140000000,8.617,9.519
140000000,140500000,8.625,9.528
140500000,141000000,8.634,9.537
141000000,141500000,8.642,9.546
141500000,142000000,8.65,9.555
142000000,142500000,8.658,9.564
142500000,143000000,8.666,9.572
143000000,143500000,8.674,9.581
143500000,144000000,8.682,9.59
144000000,144500000,8.69,9.599
144500000,145000000,8.697,9.607
145000000,145500000,8.705,9.616
145500000,146000000,8.713,9.625
146000000,146500000,8.721,9.633
146500000,147000000,8.728,9.641
147000000,147500000,8.736,9.65
147500000,148000000,8.743,9.658
148000000,148500000,8.751,9.667
148500000,149000000,8.758,9.675
149000000,149500000,8.766,9.683
149500000,150000000,8.773,9.691
150000000,150500000,8.781,9.699
150500000,151000000,8.788,9.707
151000000,151500000,8.795,9.716
151500000,152000000,8.803,9.724
152000000,152500000,8.81,9.731
152500000,153000000,8.817,9.739
153000000,153500000,8.824,9.747
153500000,154000000,8.831,9.755
154000000,154500000,8.838,9.763
154500000,155000000,8.845,9.771
155000000,155500000,8.852,9.778
155500000,156000000,8.859,9.786
156000000,156500000,8.866,9.794
156500000,157000000,8.873,9.801
157000000,157500000,8.88,9.809
157500000,158000000,8.886,9.816
158000000,158500000,8.893,9.824
158500000,159000000,8.9,9.831
159000000,159500000,8.907,9.838
159500000,160000000,8.913,9.846
160000000,160500000,8.92,9.853
160500000,161000000,8.926,9.86
161000000,161500000,8.933,9.867
161500000,162000000,8.939,9.875
162000000,162500000,8.946,9.882
162500000,163000000,8.952,9.889
163000000,163500000,8.959,9.896
163500000,164000000,8.965,9.903
164000000,164500000,8.971,9.91
164500000,165000000,8.978,9.917
165000000,165500000,8.984,9.924
165500000,166000000,8.99,9.931
166000000,166500000,8.996,9.937
166500000,167000000,9.002,9.944
167000000,167500000,9.008,9.951
167500000,168000000,9.014,9.958
168000000,168500000,9.02,9.964
168500000,169000000,9.026,9.971
169000000,169500000,9.032,9.977
169500000,170000000,9.038,9.984
170000000,170500000,9.044,9.99
170500000,171000000,9.05,9.997
171000000,171500000,9.056,10.003
171500000,172000000,9.062,10.01
172000000,172500000,9.067,10.016
172500000,173000000,9.073,10.022
173000000,173500000,9.079,10.029
173500000,174000000,9.085,10.035
174000000,174500000,9.09,10.041
174500000,175000000,9.096,10.047
175000000,175500000,9.101,10.053
175500000,176000000,9.107,10.06
176000000,176500000,9.112,10.066
176500000,177000000,9.118,10.072
177000000,177500000,9.123,10.078
177500000,178000000,9.129,10.084
178000000,178500000,9.134,10.09
178500000,179000000,9.139,10.095
179000000,179500000,9.145,10.101
179500000,180000000,9.15,10.107
180000000,180500000,9.155,10.113
180500000,181000000,9.16,10.119
181000000,181500000,9.166,10.124
181500000,182000000,9.171,10.13
182000000,182500000,9.176,10.136
182500000,183000000,9.181,10.141
183000000,183500000,9.186,10.147
183500000,184000000,9.191,10.153
184000000,184500000,9.196,10.158
184500000,185000000,9.201,10.164
185000000,185500000,9.206,10.169
185500000,186000000,9.211,10.175
186000000,186500000,9.216,10.18
186500000,187000000,9.221,10.185
187000000,187500000,9.225,10.191
187500000,188000000,9.23,10.196
188000000,188500000,9.235,10.201
188500000,189000000,9.24,10.206
189000000,189500000,9.244,10.212
189500000,190000000,9.249,10.217
190000000,190500000,9.254,10.222
190500000,191000000,9.258,10.227
191000000,191500000,9.263,10.232
191500000,192000000,9.268,10.237
192000000,192500000,9.272,10.242
192500000,193000000,9.277,10.247
193000000,193500000,9.281,10.252
193500000,194000000,9.286,10.257
194000000,194500000,9.29,10.262
194500000,195000000,9.294,10.267
195000000,195500000,9.299,10.272
195500000,196000000,9.303,10.277
196000000,196500000,9.308,10.281
196500000,197000000,9.312,10.286
197000000,197500000,9.316,10.291
197500000,198000000,9.32,10.295
198000000,198500000,9.325,10.3
198500000,199000000,9.329,10.305
199000000,199500000,9.333,10.309
199500000,200000000,9.337,10.314
200000000,200500000,9.341,10.318
200500000,201000000,9.345,10.323
201000000,201500000,9.349,10.327
201500000,202000000,9.353,10.332
202000000,202500000,9.357,10.336
202500000,203000000,9.361,10.341
203000000,203500000,9.365,10.345
203500000,204000000,9.369,10.349
204000000,204500000,9.373,10.354
204500000,205000000,9.377,10.358
205000000,205500000,9.381,10.362
205500000,206000000,9.385,10.367
206000000,206500000,9.389,10.371
206500000,207000000,9.392,10.375
207000000,207500000,9.396,10.379
207500000,208000000,9.4,10.383
208000000,208500000,9.404,10.387
208500000,209000000,9.407,10.391
209000000,209500000,9.411,10.395
209500000,210000000,9.414,10.399
210000000,210500000,9.418,10.403
210500000,211000000,9.422,10.407
211000000,211500000,9.425,10.411
211500000,212000000,9.429,10.415
212000000,212500000,9.432,10.419
212500000,213000000,9.436,10.423
213000000,213500000,9.439,10.427
213500000,214000000,9.443,10.431
214000000,214500000,9.446,10.434
214500000,215000000,9.45,10.438
215000000,215500000,9.453,10.442
215500000,216000000,9.456,10.446
216000000,216500000,9.46,10.449
216500000,217000000,9.463,10.453
217000000,217500000,9.466,10.457
217500000,218000000,9.469,10.46
218000000,218500000,9.473,10.464
218500000,219000000,9.476,10.467
219000000,219500000,9.479,10.471
219500000,220000000,9.482,10.474
220000000,220500000,9.485,10.478
220500000,221000000,9.489,10.481
221000000,221500000,9.492,10.485
221500000,222000000,9.495,10.488
222000000,222500000,9.498,10.491
222500000,223000000,9.501,10.495
223000000,223500000,9.504,10.498
223500000,224000000,9.507,10.501
224000000,224500000,9.51,10.505
224500000,225000000,9.513,10.508
225000000,225500000,9.516,10.511
225500000,226000000,9.519,10.514
226000000,226500000,9.521,10.518
226500000,227000000,9.524,10.521
227000000,227500000,9.527,10.524
227500000,228000000,9.53,10.527
228000000,228500000,9.533,10.53
228500000,229000000,9.536,10.533
229000000,229500000,9.538,10.536
229500000,230000000,9.541,10.539
230000000,230500000,9.544,10.542
230500000,231000000,9.546,10.545
231000000,231500000,9.549,10.548
231500000,232000000,9.552,10.551
232000000,232500000,9.554,10.554
232500000,233000000,9.557,10.557
233000000,233500000,9.56,10.56
233500000,234000000,9.562,10.563
234000000,234500000,9.565,10.565
234500000,235000000,9.567,10.568
235000000,235500000,9.57,10.571
235500000,236000000,9.572,10.574
236000000,236500000,9.575,10.576
236500000,237000000,9.577,10.579
237000000,237500000,9.58,10.582
237500000,238000000,9.582,10.585
238000000,238500000,9.584,10.587
238500000,239000000,9.587,10.59
239000000,239500000,9.589,10.592
239500000,240000000,9.592,10.595
240000000,240500000,9.594,10.598
240500000,241000000,9.596,10.6
241000000,241500000,9.598,10.603
241500000,242000000,9.601,10.605
242000000,242500000,9.603,10.608
242500000,243000000,9.605,10.61
243000000,243500000,9.607,10.612
243500000,244000000,9.609,10.615
244000000,244500000,9.612,10.617
244500000,245000000,9.614,10.62
245000000,245500000,9.616,10.622
245500000,246000000,9.618,10.624
246000000,246500000,9.62,10.627
246500000,247000000,9.622,10.629
247000000,247500000,9.624,10.631
247500000,248000000,9.626,10.633
248000000,248500000,9.628,10.636
248500000,249000000,9.63,10.638
249000000,249500000,9.632,10.64
249500000,250000000,9.634,10.642
250000000,250500000,9.636,10.644
250500000,251000000,9.638,10.646
251000000,251500000,9.64,10.649
251500000,252000000,9.642,10.651
252000000,252500000,9.644,10.653
252500000,253000000,9.646,10.655
253000000,253500000,9.647,10.657
253500000,254000000,9.649,10.659
254000000,254500000,9.651,10.661
254500000,255000000,9.653,10.663
255000000,255500000,9.655,10.665
255500000,256000000,9.656,10.667
256000000,256500000,9.658,10.669
256500000,257000000,9.66,10.67
257000000,257500000,9.661,10.672
257500000,258000000,9.663,10.674
258000000,258500000,9.665,10.676
258500000,259000000,9.666,10.678
259000000,259500000,9.668,10.68
259500000,260000000,9.67,10.681
260000000,260500000,9.671,10.683
260500000,261000000,9.673,10.685
261000000,261500000,9.674,10.687
261500000,262000000,9.676,10.688
262000000,262500000,9.678,10.69
262500000,263000000,9.679,10.692
263000000,263500000,9.681,10.693
263500000,264000000,9.682,10.695
264000000,264500000,9.683,10.697
264500000,265000000,9.685,10.698
265000000,265500000,9.686,10.7
265500000,266000000,9.688,10.701
266000000,266500000,9.689,10.703
266500000,267000000,9.691,10.704
267000000,267500000,9.692,10.706
267500000,268000000,9.693,10.707
268000000,268500000,9.695,10.709
268500000,269000000,9.696,10.71
269000000,269500000,9.697,10.712
269500000,270000000,9.698,10.713
270000000,270500000,9.7,10.715
270500000,271000000,9.701,10.716
271000000,271500000,9.702,10.717
271500000,272000000,9.703,10.719
272000000,272500000,9.705,10.72
272500000,273000000,9.706,10.721
273000000,273500000,9.707,10.723
273500000,274000000,9.708,10.724
274000000,274500000,9.709,10.725
274500000,275000000,9.71,10.726
275000000,275500000,9.712,10.728
275500000,276000000,9.713,10.729
276000000,276500000,9.714,10.73
276500000,277000000,9.715,10.731
277000000,277500000,9.716,10.732
277500000,278000000,9.717,10.734
278000000,278500000,9.718,10.735
278500000,279000000,9.719,10.736
279000000,279500000,9.72,10.737
279500000,280000000,9.721,10.738
280000000,280500000,9.722,10.739
280500000,281000000,9.723,10.74
281000000,281500000,9.724,10.741
281500000,282000000,9.725,10.742
282000000,282500000,9.726,10.743
282500000,283000000,9.727,10.744
283000000,283500000,9.727,10.745
283500000,284000000,9.728,10.746
284000000,284500000,9.729,10.747
284500000,285000000,9.73,10.748
285000000,285500000,9.731,10.749
285500000,286000000,9.732,10.75
286000000,286500000,9.732,10.751
286500000,287000000,9.733,10.751
287000000,287500000,9.734,10.752
287500000,288000000,9.735,10.753
288000000,288500000,9.735,10.754
288500000,289000000,9.736,10.755
289000000,289500000,9.737,10.756
289500000,290000000,9.738,10.756
290000000,290500000,9.738,10.757
290500000,291000000,9.739,10.758
291000000,291500000,9.74,10.758
291500000,292000000,9.74,10.759
292000000,292500000,9.741,10.76
292500000,293000000,9.741,10.761
293000000,293500000,9.742,10.761
293500000,294000000,9.743,10.762
294000000,294500000,9.743,10.763
294500000,295000000,9.744,10.763
295000000,295500000,9.744,10.764
295500000,296000000,9.745,10.764
296000000,296500000,9.745,10.765
296500000,297000000,9.746,10.765
297000000,297500000,9.746,10.766
297500000,298000000,9.747,10.767
298000000,298500000,9.747,10.767
298500000,299000000,9.748,10.768
299000000,299500000,9.748,10.768
299500000,300000000,9.749,10.769
300000000,300000000,9.749,10.769
