rp,curve,loss
rp_1000,Europe Windstorm Switzerland (RMS),2252172646.00
rp_5,Europe Windstorm UK (RMS),1081734663.00
rp_10,Europe Windstorm UK (RMS),1808094340.00
rp_25,Europe Windstorm UK (RMS),3482732461.00
rp_50,Europe Windstorm UK (RMS),6290910225.00
rp_100,Europe Windstorm UK (RMS),10985948118.00
rp_200,Europe Windstorm UK (RMS),15897093058.00
rp_250,Europe Windstorm UK (RMS),17573002295.00
rp_500,Europe Windstorm UK (RMS),23123588642.00
rp_1000,Europe Windstorm UK (RMS),28600413223.00
rp_5,Europe Windstorm inc Surge UK (RMS),1144387508.00
rp_10,Europe Windstorm inc Surge UK (RMS),1991546408.00
rp_25,Europe Windstorm inc Surge UK (RMS),4345401061.00
rp_50,Europe Windstorm inc Surge UK (RMS),8032626901.00
rp_100,Europe Windstorm inc Surge UK (RMS),12929566673.00
rp_200,Europe Windstorm inc Surge UK (RMS),18620725699.00
rp_250,Europe Windstorm inc Surge UK (RMS),20706825330.00
rp_500,Europe Windstorm inc Surge UK (RMS),26894732597.00
rp_1000,Europe Windstorm inc Surge UK (RMS),32428169799.00
rp_5,German Hail GC,580000000.00
rp_10,German Hail GC,809875000.00
rp_25,German Hail GC,1243145833.00
rp_50,German Hail GC,1856062500.00
rp_100,German Hail GC,2768250000.00
rp_200,German Hail GC,3799750000.00
rp_250,German Hail GC,4315500000.00
rp_500,German Hail GC,5683375000.00
rp_1000,German Hail GC,7215250000.00
rp_5,German Hail Willis,679000000.00
rp_10,German Hail Willis,1082125000.00
rp_25,German Hail Willis,1754541667.00
rp_50,German Hail Willis,2533187500.00
rp_100,German Hail Willis,3404875000.00
rp_200,German Hail Willis,4301041667.00
rp_250,German Hail Willis,4749125000.00
rp_500,German Hail Willis,6032812500.00
rp_1000,German Hail Willis,8047312500.00
rp_5,Europe Windstorm Norway (RMS),164651774.00
rp_10,Europe Windstorm Norway (RMS),232901233.00
rp_25,Europe Windstorm Norway (RMS),334719075.00
rp_50,Europe Windstorm Norway (RMS),422707566.00
rp_100,Europe Windstorm Norway (RMS),520926395.00
rp_200,Europe Windstorm Norway (RMS),627570913.00
rp_250,Europe Windstorm Norway (RMS),661269078.00
rp_500,Europe Windstorm Norway (RMS),773468283.00
rp_1000,Europe Windstorm Norway (RMS),910983793.00
rp_5,Europe Windstorm Poland (RMS),58585643.00
rp_10,Europe Windstorm Poland (RMS),99303957.00
rp_25,Europe Windstorm Poland (RMS),171378779.00
rp_50,Europe Windstorm Poland (RMS),243322375.00
rp_100,Europe Windstorm Poland (RMS),331019167.00
rp_200,Europe Windstorm Poland (RMS),434596916.00
rp_250,Europe Windstorm Poland (RMS),469702734.00
rp_500,Europe Windstorm Poland (RMS),597724140.00
rp_1000,Europe Windstorm Poland (RMS),759329433.00
rp_5,UK Flood (RMS),744968904.00
rp_10,UK Flood (RMS),1557238206.00
rp_25,UK Flood (RMS),3092139303.00
rp_50,UK Flood (RMS),4597791978.00
rp_100,UK Flood (RMS),6745305303.00
rp_200,UK Flood (RMS),9682270646.00
rp_250,UK Flood (RMS),10824382206.00
rp_500,UK Flood (RMS),14473131625.00
rp_1000,UK Flood (RMS),18108638841.00
rp_5,Austria Severe Thunderstorm (AIR),175313487.00
rp_10,Austria Severe Thunderstorm (AIR),344547477.00
rp_25,Austria Severe Thunderstorm (AIR),704855517.00
rp_50,Austria Severe Thunderstorm (AIR),1184237173.00
rp_100,Austria Severe Thunderstorm (AIR),1757524182.00
rp_200,Austria Severe Thunderstorm (AIR),2567993129.00
rp_250,Austria Severe Thunderstorm (AIR),2808354719.00
rp_500,Austria Severe Thunderstorm (AIR),3572098656.00
rp_1000,Austria Severe Thunderstorm (AIR),4502645377.00
rp_5,France Severe Thunderstorm (AIR),510646263.00
rp_10,France Severe Thunderstorm (AIR),855597508.00
rp_25,France Severe Thunderstorm (AIR),1531730989.00
rp_50,France Severe Thunderstorm (AIR),2287536937.00
rp_100,France Severe Thunderstorm (AIR),3437034460.00
rp_200,France Severe Thunderstorm (AIR),4960677463.00
rp_250,France Severe Thunderstorm (AIR),5602297312.00
rp_500,France Severe Thunderstorm (AIR),7504845223.00
rp_1000,France Severe Thunderstorm (AIR),19088821788.00
rp_5,Germany Severe Thunderstorm (AIR),1006723778.00
rp_10,Germany Severe Thunderstorm (AIR),1671155721.00
rp_25,Germany Severe Thunderstorm (AIR),2759044181.00
rp_50,Germany Severe Thunderstorm (AIR),4045433479.00
rp_100,Germany Severe Thunderstorm (AIR),5602530529.00
rp_200,Germany Severe Thunderstorm (AIR),7480881818.00
rp_250,Germany Severe Thunderstorm (AIR),8077031588.00
rp_500,Germany Severe Thunderstorm (AIR),9978759484.00
rp_1000,Germany Severe Thunderstorm (AIR),12705751047.00
rp_5,Netherlands Severe Thunderstorm (AIR),88869115.00
rp_10,Netherlands Severe Thunderstorm (AIR),239840055.00
rp_25,Netherlands Severe Thunderstorm (AIR),621092496.00
rp_50,Netherlands Severe Thunderstorm (AIR),1086099405.00
rp_100,Netherlands Severe Thunderstorm (AIR),1746431172.00
rp_200,Netherlands Severe Thunderstorm (AIR),2517733268.00
rp_250,Netherlands Severe Thunderstorm (AIR),2771857719.00
rp_500,Netherlands Severe Thunderstorm (AIR),3559793438.00
rp_1000,Netherlands Severe Thunderstorm (AIR),5840744408.00
rp_5,Switzerland Severe Thunderstorm (AIR),249556553.00
rp_10,Switzerland Severe Thunderstorm (AIR),590715684.00
rp_25,Switzerland Severe Thunderstorm (AIR),1408140832.00
rp_50,Switzerland Severe Thunderstorm (AIR),2275492631.00
rp_100,Switzerland Severe Thunderstorm (AIR),3508016937.00
rp_200,Switzerland Severe Thunderstorm (AIR),4984507901.00
rp_250,Switzerland Severe Thunderstorm (AIR),5893477187.00
rp_500,Switzerland Severe Thunderstorm (AIR),8518643744.00
rp_1000,Switzerland Severe Thunderstorm (AIR),11057974284.00
rp_5,Austria Flood (AIR),125940398.00
rp_10,Austria Flood (AIR),303789903.00
rp_25,Austria Flood (AIR),735535127.00
rp_50,Austria Flood (AIR),1199086624.00
rp_100,Austria Flood (AIR),2063633695.00
rp_200,Austria Flood (AIR),2917384499.00
rp_250,Austria Flood (AIR),3438485657.00
rp_500,Austria Flood (AIR),4656250943.00
rp_1000,Austria Flood (AIR),6489540665.00
rp_5,Germany Flood (AIR),498370895.00
rp_10,Germany Flood (AIR),1217382825.00
rp_25,Germany Flood (AIR),3253451099.00
rp_50,Germany Flood (AIR),5991832357.00
rp_100,Germany Flood (AIR),9529424291.00
rp_200,Germany Flood (AIR),14638600248.00
rp_250,Germany Flood (AIR),15815854911.00
rp_500,Germany Flood (AIR),20758837134.00
rp_1000,Germany Flood (AIR),26474027797.00
rp_5,Germany Windstorm (AIR),862011110.00
rp_10,Germany Windstorm (AIR),1687520347.00
rp_25,Germany Windstorm (AIR),3807859641.00
rp_50,Germany Windstorm (AIR),8795838693.00
rp_100,Germany Windstorm (AIR),12021507617.00
rp_200,Germany Windstorm (AIR),15007700641.00
rp_250,Germany Windstorm (AIR),15903412488.00
rp_500,Germany Windstorm (AIR),18355177601.00
rp_1000,Germany Windstorm (AIR),21292185849.00
rp_5,Germany Earthquake (Allianz AIR),0.00
rp_10,Germany Earthquake (Allianz AIR),47304843.00
rp_25,Germany Earthquake (Allianz AIR),396656142.94
rp_50,Germany Earthquake (Allianz AIR),1032587564.00
rp_100,Germany Earthquake (Allianz AIR),2392417284.00
rp_200,Germany Earthquake (Allianz AIR),4551575841.00
rp_250,Germany Earthquake (Allianz AIR),5631155119.00
rp_500,Germany Earthquake (Allianz AIR),9490425138.00
rp_1000,Germany Earthquake (Allianz AIR),12112522533.00
rp_5,Switzerland Flood (AIR),367371386.00
rp_10,Switzerland Flood (AIR),1111465600.00
rp_25,Switzerland Flood (AIR),3705097897.00
rp_50,Switzerland Flood (AIR),7277601772.00
rp_100,Switzerland Flood (AIR),11163021335.00
rp_200,Switzerland Flood (AIR),18383062461.00
rp_250,Switzerland Flood (AIR),20194448894.00
rp_500,Switzerland Flood (AIR),28332804327.00
rp_1000,Switzerland Flood (AIR),33070658114.00
rp_5,Canada Severe Thunderstorm (AIR),477300034.00
rp_10,Canada Severe Thunderstorm (AIR),855442986.00
rp_25,Canada Severe Thunderstorm (AIR),1730319862.00
rp_50,Canada Severe Thunderstorm (AIR),2663889283.00
rp_100,Canada Severe Thunderstorm (AIR),3930072173.00
rp_200,Canada Severe Thunderstorm (AIR),5671215208.00
rp_250,Canada Severe Thunderstorm (AIR),6006530038.00
rp_500,Canada Severe Thunderstorm (AIR),9052450885.00
rp_1000,Canada Severe Thunderstorm (AIR),10953239583.00
rp_5,Canada Winter Storm (AIR),193554166.00
rp_10,Canada Winter Storm (AIR),329864176.00
rp_25,Canada Winter Storm (AIR),700382378.00
rp_50,Canada Winter Storm (AIR),1172529118.00
rp_100,Canada Winter Storm (AIR),1869608835.00
rp_200,Canada Winter Storm (AIR),2450148940.00
rp_250,Canada Winter Storm (AIR),2820381998.00
rp_500,Canada Winter Storm (AIR),3835844833.00
rp_1000,Canada Winter Storm (AIR),4671582815.00
rp_5,Canada Earthquake (RMS),0.00
rp_10,Canada Earthquake (RMS),11656329.00
rp_25,Canada Earthquake (RMS),268333233.00
rp_50,Canada Earthquake (RMS),1291405793.00
rp_100,Canada Earthquake (RMS),5129880629.00
rp_200,Canada Earthquake (RMS),13667499231.00
rp_250,Canada Earthquake (RMS),17276567482.00
rp_500,Canada Earthquake (RMS),32177143043.00
rp_1000,Canada Earthquake (RMS),53132917931.00
rp_5,Australia Severe Thunderstorm (AIR),679736637.00
rp_10,Australia Severe Thunderstorm (AIR),1237208466.00
rp_25,Australia Severe Thunderstorm (AIR),2431991252.00
rp_50,Australia Severe Thunderstorm (AIR),3864114765.00
rp_100,Australia Severe Thunderstorm (AIR),6138457344.00
rp_200,Australia Severe Thunderstorm (AIR),7759145880.00
rp_250,Australia Severe Thunderstorm (AIR),8784831553.00
rp_500,Australia Severe Thunderstorm (AIR),11935189412.00
rp_1000,Australia Severe Thunderstorm (AIR),15077282246.00
rp_5,Australia Wildfire (AIR),323352742.00
rp_10,Australia Wildfire (AIR),632394499.00
rp_25,Australia Wildfire (AIR),1212943000.00
rp_50,Australia Wildfire (AIR),1795874682.00
rp_100,Australia Wildfire (AIR),2568099592.00
rp_200,Australia Wildfire (AIR),3454668427.00
rp_250,Australia Wildfire (AIR),3765820464.00
rp_500,Australia Wildfire (AIR),4766508795.00
rp_1000,Australia Wildfire (AIR),7476036665.00
rp_5,Australia Earthquake (AIR),103136269.00
rp_10,Australia Earthquake (AIR),363689358.00
rp_25,Australia Earthquake (AIR),1812559028.00
rp_50,Australia Earthquake (AIR),5390102767.00
rp_100,Australia Earthquake (AIR),14925801785.00
rp_200,Australia Earthquake (AIR),34693090773.00
rp_250,Australia Earthquake (AIR),45499484522.00
rp_500,Australia Earthquake (AIR),82219398264.00
rp_1000,Australia Earthquake (AIR),126916786383.00
rp_5,Australia Windstorm (AIR),421200143.00
rp_10,Australia Windstorm (AIR),1000667294.00
rp_25,Australia Windstorm (AIR),2123303709.00
rp_50,Australia Windstorm (AIR),3415493846.00
rp_100,Australia Windstorm (AIR),5161532152.00
rp_200,Australia Windstorm (AIR),7703520282.00
rp_250,Australia Windstorm (AIR),8676978948.00
rp_500,Australia Windstorm (AIR),11184179409.00
rp_1000,Australia Windstorm (AIR),12915411003.00
rp_5,New Zealand Earthquake (AIR),553451392.00
rp_10,New Zealand Earthquake (AIR),1347395289.00
rp_25,New Zealand Earthquake (AIR),3274967675.00
rp_50,New Zealand Earthquake (AIR),6164116848.00
rp_100,New Zealand Earthquake (AIR),10840736805.00
rp_200,New Zealand Earthquake (AIR),26450504603.00
rp_250,New Zealand Earthquake (AIR),32063013490.00
rp_500,New Zealand Earthquake (AIR),42544282163.00
rp_1000,New Zealand Earthquake (AIR),47455125150.00
rp_5,Japan Typhoon (RMS),1957282652.00
rp_10,Japan Typhoon (RMS),3878091476.00
rp_25,Japan Typhoon (RMS),7711555691.00
rp_50,Japan Typhoon (RMS),11858407977.00
rp_100,Japan Typhoon (RMS),16865189578.00
rp_200,Japan Typhoon (RMS),22991133537.00
rp_250,Japan Typhoon (RMS),25193078009.00
rp_500,Japan Typhoon (RMS),33071301592.00
rp_1000,Japan Typhoon (RMS),40931649865.00
rp_5,Japan Earthquake (RMS),2281159829.00
rp_10,Japan Earthquake (RMS),9969522104.00
rp_25,Japan Earthquake (RMS),29895179595.00
rp_50,Japan Earthquake (RMS),41841080118.00
rp_100,Japan Earthquake (RMS),52981237084.00
rp_200,Japan Earthquake (RMS),66793636884.00
rp_250,Japan Earthquake (RMS),72859989837.00
rp_500,Japan Earthquake (RMS),96048438084.00
rp_1000,Japan Earthquake (RMS),114714942070.00
rp_5,Japan Flood (AIR),238465897.00
rp_10,Japan Flood (AIR),411933923.00
rp_25,Japan Flood (AIR),939227703.00
rp_50,Japan Flood (AIR),1797662501.00
rp_100,Japan Flood (AIR),2996459562.00
rp_200,Japan Flood (AIR),4682252104.00
rp_250,Japan Flood (AIR),5207317295.00
rp_500,Japan Flood (AIR),8397506295.00
rp_1000,Japan Flood (AIR),13980354476.00
rp_5,India Earthquake (AIR),38864813.00
rp_10,India Earthquake (AIR),147691202.00
rp_25,India Earthquake (AIR),607907460.00
rp_50,India Earthquake (AIR),1301002780.00
rp_100,India Earthquake (AIR),2626274102.00
rp_200,India Earthquake (AIR),4963227657.00
rp_250,India Earthquake (AIR),5450245149.00
rp_500,India Earthquake (AIR),8182056816.00
rp_1000,India Earthquake (AIR),12307381336.00
rp_5,India Windstorm (AIR),104268668.00
rp_10,India Windstorm (AIR),182578016.00
rp_25,India Windstorm (AIR),316254977.00
rp_50,India Windstorm (AIR),458958318.00
rp_100,India Windstorm (AIR),611503246.00
rp_200,India Windstorm (AIR),810553885.00
rp_250,India Windstorm (AIR),923169899.00
rp_500,India Windstorm (AIR),1432939874.00
rp_1000,India Windstorm (AIR),2120958328.00
rp_5,South Africa Earthquake (Absa/Aon),9010857.00
rp_10,South Africa Earthquake (Absa/Aon),56943946.00
rp_25,South Africa Earthquake (Absa/Aon),255124388.00
rp_50,South Africa Earthquake (Absa/Aon),726431029.00
rp_100,South Africa Earthquake (Absa/Aon),1415621137.00
rp_200,South Africa Earthquake (Absa/Aon),2115591972.00
rp_250,South Africa Earthquake (Absa/Aon),2436349077.00
rp_500,South Africa Earthquake (Absa/Aon),3287762878.00
rp_1000,South Africa Earthquake (Absa/Aon),4405911874.00
rp_5,Mexico Windstorm (AIR),508066236.00
rp_10,Mexico Windstorm (AIR),1036242013.00
rp_25,Mexico Windstorm (AIR),2105262676.00
rp_50,Mexico Windstorm (AIR),3023819125.00
rp_100,Mexico Windstorm (AIR),4036456055.00
rp_200,Mexico Windstorm (AIR),5328877814.00
rp_250,Mexico Windstorm (AIR),5655622967.00
rp_500,Mexico Windstorm (AIR),6825968963.00
rp_1000,Mexico Windstorm (AIR),8576302188.00
rp_5,Caribbean Windstorm Antigua and Barbuda (RMS),710743.00
rp_10,Caribbean Windstorm Antigua and Barbuda (RMS),64670348.00
rp_25,Caribbean Windstorm Antigua and Barbuda (RMS),391078510.00
rp_50,Caribbean Windstorm Antigua and Barbuda (RMS),829428419.00
rp_100,Caribbean Windstorm Antigua and Barbuda (RMS),1462981160.00
rp_200,Caribbean Windstorm Antigua and Barbuda (RMS),2316192342.00
rp_250,Caribbean Windstorm Antigua and Barbuda (RMS),2504373190.00
rp_500,Caribbean Windstorm Antigua and Barbuda (RMS),2976495719.00
rp_1000,Caribbean Windstorm Antigua and Barbuda (RMS),3864552131.00
rp_5,Caribbean Windstorm Aruba (RMS),0.00
rp_10,Caribbean Windstorm Aruba (RMS),0.00
rp_25,Caribbean Windstorm Aruba (RMS),270055.00
rp_50,Caribbean Windstorm Aruba (RMS),41294250.00
rp_100,Caribbean Windstorm Aruba (RMS),201709672.00
rp_200,Caribbean Windstorm Aruba (RMS),449118685.00
rp_250,Caribbean Windstorm Aruba (RMS),532188265.00
rp_500,Caribbean Windstorm Aruba (RMS),884328466.00
rp_1000,Caribbean Windstorm Aruba (RMS),1283682553.00
rp_5,Caribbean Windstorm Bahamas (RMS),400674316.00
rp_10,Caribbean Windstorm Bahamas (RMS),1175893609.00
rp_25,Caribbean Windstorm Bahamas (RMS),2742425699.00
rp_50,Caribbean Windstorm Bahamas (RMS),4478973795.00
rp_100,Caribbean Windstorm Bahamas (RMS),6599080573.00
rp_200,Caribbean Windstorm Bahamas (RMS),9215311690.00
rp_250,Caribbean Windstorm Bahamas (RMS),10150808295.00
rp_500,Caribbean Windstorm Bahamas (RMS),13145817243.00
rp_1000,Caribbean Windstorm Bahamas (RMS),15654112964.00
rp_5,Caribbean Windstorm Barbados (RMS),0.00
rp_10,Caribbean Windstorm Barbados (RMS),2718544.00
rp_25,Caribbean Windstorm Barbados (RMS),338809320.00
rp_50,Caribbean Windstorm Barbados (RMS),1112788386.00
rp_100,Caribbean Windstorm Barbados (RMS),2298319392.00
rp_200,Caribbean Windstorm Barbados (RMS),3953191938.00
rp_250,Caribbean Windstorm Barbados (RMS),4727153902.00
rp_500,Caribbean Windstorm Barbados (RMS),6876353851.00
rp_1000,Caribbean Windstorm Barbados (RMS),9239422189.00
rp_5,Caribbean Windstorm Bermuda (RMS),21929466.00
rp_10,Caribbean Windstorm Bermuda (RMS),149944808.00
rp_25,Caribbean Windstorm Bermuda (RMS),489361254.00
rp_50,Caribbean Windstorm Bermuda (RMS),823940934.00
rp_100,Caribbean Windstorm Bermuda (RMS),1231499947.00
rp_200,Caribbean Windstorm Bermuda (RMS),1792554094.00
rp_250,Caribbean Windstorm Bermuda (RMS),2025234222.00
rp_500,Caribbean Windstorm Bermuda (RMS),3021190995.00
rp_1000,Caribbean Windstorm Bermuda (RMS),4019167461.00
rp_5,Caribbean Windstorm British Virgin Islands (RMS),1504334.00
rp_10,Caribbean Windstorm British Virgin Islands (RMS),62172208.00
rp_25,Caribbean Windstorm British Virgin Islands (RMS),319707021.00
rp_50,Caribbean Windstorm British Virgin Islands (RMS),623109568.00
rp_100,Caribbean Windstorm British Virgin Islands (RMS),1001529664.00
rp_200,Caribbean Windstorm British Virgin Islands (RMS),1473355774.00
rp_250,Caribbean Windstorm British Virgin Islands (RMS),1666447762.00
rp_500,Caribbean Windstorm British Virgin Islands (RMS),2186708981.00
rp_1000,Caribbean Windstorm British Virgin Islands (RMS),2683320119.00
rp_5,Caribbean Windstorm Cayman Islands (RMS),24641095.00
rp_10,Caribbean Windstorm Cayman Islands (RMS),273640457.00
rp_25,Caribbean Windstorm Cayman Islands (RMS),742673230.00
rp_50,Caribbean Windstorm Cayman Islands (RMS),1253515387.00
rp_100,Caribbean Windstorm Cayman Islands (RMS),2183449255.00
rp_200,Caribbean Windstorm Cayman Islands (RMS),3466553482.00
rp_250,Caribbean Windstorm Cayman Islands (RMS),3942113462.00
rp_500,Caribbean Windstorm Cayman Islands (RMS),5158868924.00
rp_1000,Caribbean Windstorm Cayman Islands (RMS),6211200988.00
rp_5,Caribbean Windstorm Dominica (RMS),21473.00
rp_10,Caribbean Windstorm Dominica (RMS),7222936.00
rp_25,Caribbean Windstorm Dominica (RMS),60033417.00
rp_50,Caribbean Windstorm Dominica (RMS),141737985.00
rp_100,Caribbean Windstorm Dominica (RMS),237537189.00
rp_200,Caribbean Windstorm Dominica (RMS),361065298.00
rp_250,Caribbean Windstorm Dominica (RMS),399533604.00
rp_500,Caribbean Windstorm Dominica (RMS),519442867.00
rp_1000,Caribbean Windstorm Dominica (RMS),684987586.00
rp_5,Caribbean Windstorm Dominican Republic (RMS),29777160.00
rp_10,Caribbean Windstorm Dominican Republic (RMS),291201463.00
rp_25,Caribbean Windstorm Dominican Republic (RMS),1192857277.00
rp_50,Caribbean Windstorm Dominican Republic (RMS),2259699232.00
rp_100,Caribbean Windstorm Dominican Republic (RMS),3709154279.00
rp_200,Caribbean Windstorm Dominican Republic (RMS),5590261277.00
rp_250,Caribbean Windstorm Dominican Republic (RMS),6382139074.00
rp_500,Caribbean Windstorm Dominican Republic (RMS),9231049681.00
rp_1000,Caribbean Windstorm Dominican Republic (RMS),11588387300.00
rp_5,Caribbean Windstorm Grenada (RMS),0.00
rp_10,Caribbean Windstorm Grenada (RMS),0.00
rp_25,Caribbean Windstorm Grenada (RMS),5986819.00
rp_50,Caribbean Windstorm Grenada (RMS),49180409.00
rp_100,Caribbean Windstorm Grenada (RMS),136784786.00
rp_200,Caribbean Windstorm Grenada (RMS),274442060.00
rp_250,Caribbean Windstorm Grenada (RMS),340057441.00
rp_500,Caribbean Windstorm Grenada (RMS),593046881.00
rp_1000,Caribbean Windstorm Grenada (RMS),848916412.00
rp_5,Caribbean Windstorm Jamaica (RMS),24750521.00
rp_10,Caribbean Windstorm Jamaica (RMS),334100467.00
rp_25,Caribbean Windstorm Jamaica (RMS),1197487272.00
rp_50,Caribbean Windstorm Jamaica (RMS),2190796913.00
rp_100,Caribbean Windstorm Jamaica (RMS),3574239240.00
rp_200,Caribbean Windstorm Jamaica (RMS),5280137341.00
rp_250,Caribbean Windstorm Jamaica (RMS),5772215339.00
