SICCode,SICClass,Class,SuperClass,MacroDescription,SectorName,SectorID,F5Adj,UWComment,UWMessage,RegLevel,NONSCALevel,FrequencyGroup,SICCombined
139,"FIELD CROPS, EXCEPT CASH GRAIN","FIELD CROPS, EXCEPT CASH GRAINS",AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,"FIELD CROPS, EXCEPT CASH GRAIN (139)"
161,VEGETABLES AND MELONS,VEGETABLES AND MELONS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,VEGETABLES AND MELONS (161)
171,BERRY CROPS,FRUITS AND TREE NUTS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,BERRY CROPS (171)
172,GRAPES,FRUITS AND TREE NUTS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,GRAPES (172)
173,TREE NUTS,FRUITS AND TREE NUTS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,TREE NUTS (173)
174,CITRUS FRUITS,FRUITS AND TREE NUTS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,CITRUS FRUITS (174)
175,DECIDUOUS TREE FRUITS,FRUITS AND TREE NUTS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,DECIDUOUS TREE FRUITS (175)
179,"FRUITS AND TREE NUTS, NEC",FRUITS AND TREE NUTS,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,"FRUITS AND TREE NUTS, NEC (179)"
181,ORNAMENTAL NURSERY PRODUCTS,HORTICULTURAL SPECIALTIES,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,ORNAMENTAL NURSERY PRODUCTS (181)
182,FOOD CROPS GROWN UNDER COVER,HORTICULTURAL SPECIALTIES,AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,FOOD CROPS GROWN UNDER COVER (182)
191,"GENERAL FARMS, PRIMARILY CROP","GENERAL FARMS, PRIMARILY CROP",AGRICULTURAL PRODUCTION - CROPS,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,"GENERAL FARMS, PRIMARILY CROP (191)"
200,AGRICULTURAL PRODUCTION - LIVESTOCK,AGRICULTURAL PRODUCTION - LIVESTOCK,AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,AGRICULTURAL PRODUCTION - LIVESTOCK (200)
211,BEEF CATTLE FEEDLOTS,"LIVESTOCK, EXCEPT DAIRY AND POULTRY",AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,BEEF CATTLE FEEDLOTS (211)
212,"BEEF CATTLE, EXCEPT FEEDLOTS","LIVESTOCK, EXCEPT DAIRY AND POULTRY",AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,"BEEF CATTLE, EXCEPT FEEDLOTS (212)"
213,HOGS,"LIVESTOCK, EXCEPT DAIRY AND POULTRY",AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,HOGS (213)
214,SHEEP AND GOATS,"LIVESTOCK, EXCEPT DAIRY AND POULTRY",AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,SHEEP AND GOATS (214)
219,"GENERAL LIVESTOCK, NEC","LIVESTOCK, EXCEPT DAIRY AND POULTRY",AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,"GENERAL LIVESTOCK, NEC (219)"
241,DAIRY FARMS,DAIRY FARMS,AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,DAIRY FARMS (241)
251,"BROILER, FRYER, AND ROASTER CHICKENS",POULTRY AND EGGS,AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,"BROILER, FRYER, AND ROASTER CHICKENS (251)"
252,CHICKEN EGGS,POULTRY AND EGGS,AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,CHICKEN EGGS (252)
253,TURKEYS AND TURKEY EGGS,POULTRY AND EGGS,AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,TURKEYS AND TURKEY EGGS (253)
254,POULTRY HATCHERIES,POULTRY AND EGGS,AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,POULTRY HATCHERIES (254)
259,"POULTRY AND EGGS, NEC",POULTRY AND EGGS,AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,"POULTRY AND EGGS, NEC (259)"
271,FUR-BEARING ANIMALS AND RABBITS,ANIMAL SPECIALTIES,AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,FUR-BEARING ANIMALS AND RABBITS (271)
272,HORSES AND OTHER EQUINES,ANIMAL SPECIALTIES,AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,HORSES AND OTHER EQUINES (272)
273,ANIMAL AQUACULTURE,ANIMAL SPECIALTIES,AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,ANIMAL AQUACULTURE (273)
279,"ANIMAL SPECIALTIES, NEC",ANIMAL SPECIALTIES,AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,"ANIMAL SPECIALTIES, NEC (279)"
291,"GENERAL FARMS, PRIMARILY ANIMALS","GENERAL FARMS, PRIMARILY ANIMAL",AGRICULTURAL PRODUCTION - LIVESTOCK,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,"GENERAL FARMS, PRIMARILY ANIMALS (291)"
700,AGRICULTURAL SERVICES,AGRICULTURAL SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,AGRICULTURAL SERVICES (700)
711,SOIL PREPARATION SERVICES,SOIL PREPARATION SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,SOIL PREPARATION SERVICES (711)
721,CROP PLANTING AND PROTECTION,CROP SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,CROP PLANTING AND PROTECTION (721)
722,CROP HARVESTING,CROP SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,CROP HARVESTING (722)
723,CROP PREPARATION SERVICES FOR MARKET,CROP SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,CROP PREPARATION SERVICES FOR MARKET (723)
724,COTTON GINNING,CROP SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,COTTON GINNING (724)
741,VETERINARY SERVICES FOR LIVESTOCK,VETERINARY SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,VETERINARY SERVICES FOR LIVESTOCK (741)
742,"VETERINARY SERVICES, SPECIALTIES",VETERINARY SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,"VETERINARY SERVICES, SPECIALTIES (742)"
751,"LIVESTOCK SERVICES, EXCEPT VETERINARY","ANIMAL SERVICES, EXCEPT VETERINARY",AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,"LIVESTOCK SERVICES, EXCEPT VETERINARY (751)"
752,ANIMAL SPECIALTY SERVICES,"ANIMAL SERVICES, EXCEPT VETERINARY",AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,ANIMAL SPECIALTY SERVICES (752)
761,FARM LABOR CONTRACTORS,FARM LABOR AND MANAGEMENT SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,FARM LABOR CONTRACTORS (761)
762,FARM MANAGEMENT SERVICES,FARM LABOR AND MANAGEMENT SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,FARM MANAGEMENT SERVICES (762)
781,LANDSCAPE COUNSELING AND PLANNING,LANDSCAPE AND HORTICULTURAL SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,LANDSCAPE COUNSELING AND PLANNING (781)
782,LAWN AND GARDEN SERVICES,LANDSCAPE AND HORTICULTURAL SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,LAWN AND GARDEN SERVICES (782)
783,ORNAMENTAL SHRUB AND TREE SERVICES,LANDSCAPE AND HORTICULTURAL SERVICES,AGRICULTURAL SERVICES,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,ORNAMENTAL SHRUB AND TREE SERVICES (783)
800,FORESTRY,FORESTRY,FORESTRY,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,FORESTRY (800)
811,TIMBER TRACTS,TIMBER TRACTS,FORESTRY,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,TIMBER TRACTS (811)
831,FOREST PRODUCTS,FOREST PRODUCTS,FORESTRY,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,FOREST PRODUCTS (831)
851,FORESTRY SERVICES,FORESTRY SERVICES,FORESTRY,"AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,FORESTRY SERVICES (851)
912,FINFISH,COMMERCIAL FISHING,"FISHING, HUNTING, AND TRAPPING","AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,FINFISH (912)
913,SHELLFISH,COMMERCIAL FISHING,"FISHING, HUNTING, AND TRAPPING","AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,SHELLFISH (913)
919,MISCELLANEOUS MARINE PRODUCTS,COMMERCIAL FISHING,"FISHING, HUNTING, AND TRAPPING","AGRICULTURE, FORESTY, AND FISHING",AGRICULTURE,12,0.008505,test,"Small sector,  only 9 companies. Consider the following hazards: 
-  Chemical/pesticide use (e.g. glycophosphate), water use and pollution 
-  Labor practices and availabity of labor
-  Vertical farming companies have struggled 
-  Blend AgTech with another appropriate SIC code",1,1,S,MISCELLANEOUS MARINE PRODUCTS (919)
