Class of Business,Class of Business Code,Pareto Parameter,Neg BI ODF,Comment
GA:ARCH/ENG,GA,1.5,2.5,
GD:D&O MISCELLANEOUS,GD,1.5,2.5,
GE:THIRD PARTY EPL,GE,1.5,2.5,
GG:ENVIRONMENTAL,GG,1.5,2.5,
GH:LONG TERM CARE,GH,1.5,2.5,
GL:LAWYERS/SOLICITORS,GL,1.5,2.5,
GM:NON PHYSICIAN HEALTHCARE PROFESSIONAL MALPRACTICE,GM,1.5,2.5,
GO:OPPI - OWNERS PROTECTIVE PROFESSIONAL INDEMNITY,GO,1.5,2.5,
GT:TMB MM,GT,1.5,2.5,
GU:US PROGRAMMES,GU,1.5,2.5,
HA:NON PHYSICIAN HEALTHCARE PROFESSIONAL MALPRACTICE,HA,1.5,1.25,
HB:BLOOD/TISSUE/OTHER BANKS,HB,1.5,1.25,
HC:CLINICAL RESEARCH/TRIALS,HC,1.5,1.25,
HD:MEDICAL DEVICE MANUFACTURING,HD,1.5,1.25,
HE:HOME HELP/HEALTH,HE,1.5,1.25,
HF:MEDICAL OCCURRENCE GL,HF,1.5,1.25,
HG:MEDICAL E&O WITH BODILY INJURY EXCLUSION,HG,1.5,1.25,
HH:HOSPITALS,HH,1.5,1.25,
HJ:HEALTHCARE MANAGEMENT LIABILITY,HJ,1.5,1.25,
HL:LONG TERM CARE,HL,1.5,1.25,
HM:MANAGED CARE ORGANISATIONS,HM,1.5,1.25,
HO:OTHER MEDICAL E&O,HO,1.5,1.25,
HP:PHYSICIAN MEDICAL MALPRACTICE,HP,1.5,1.25,
HQ:PHYSICIAN CATASTROPHE,HQ,1.1,2.5,
HR:HEALTHCARE REGULATORY LIABILITY,HR,1.5,1.25,New
HS:MEDICAL STAFFING,HS,1.5,1.25,
HT:DIAGNOSTIC AND/OR TESTING LABORATORIES,HT,1.5,1.25,
HX:HEALTHCARE EXPENSES,HX,1.5,1.25,
KK:K & R,KK,1.5,2,
NA:CYBER CAT,NA,1.5,1.25,
NB:COMMERCIAL AUTO,NB,1.5,1.25,
OA:OLS COB CODES,OA,1.5,1.25,
OC:CONTINGENCY,OC,1.5,1,
OD:GENERAL CONTINGENCY (EX ACCIDENT/ILLNESS),OD,1.3,2,
OL:LIQUIDATED DAMAGES,OL,1.6,1.25,
OT:MALICIOUS TOTAL RECALL/FOOD BORNE ILLNESS,OT,1.5,1.25,
P1:DUMMY COB FOR UNDERWRITING MANAGEMENT,P1,1.5,1.25,
PA:ARCH/ENG,PA,1.5,1.25,
PB:BANKERS PROFESSIONAL LIABILITY,PB,1.5,1.25,
PC:INTELLECTUAL PROPERTY,PC,1.5,1.25,
PD:D&O,PD,1.5,1.25,
PE:ESTATE AGENTS/SURVEYORS,PE,1.5,1.25,
PF:MISC. FINANCIAL,PF,1.5,1.25,
PG:SECURITY & PROF BI,PG,1.5,1.25,
PH:HEALTHCARE/MEDICAL RELATED E&O,PH,1.5,1.25,
PI:INS BRKS,PI,1.5,1.25,
PJ:BUSINESS SERVICES,PJ,1.5,1.25,
PK:TMB MM,PK,1.5,1.25,
PL:LIBEL/SLANDER,PL,1.5,1.25,
PM:MISCELLANEOUS,PM,1.5,1.25,
PN:OLD COB CODES,PN,1.5,1.25,
PO:TAX OPINIONS,PO,1.5,1.25,
PP:PROJECTS,PP,1.5,1.25,
PQ:MID MARKET LAWYERS,PQ,1.5,1.25,
PR:REPRESENTATIONS AND WARRANTIES,PR,1.5,1.25,
PS:LAWYERS/SOLICITORS,PS,1.5,1.25,
PT:INFORMATION TECHNOLOGY,PT,1.5,1.25,
PU:UNDERWRITING AGENCIES,PU,1.5,1.25,
PV:INSURANCE COMPANIES,PV,1.5,1.25,
PW:ACCOUNTANTS,PW,1.5,1.25,
PX:DUMMY FOR EXCESS PI,PX,1.5,1.25,
PY:US PROGRAMMES,PY,1.5,1.25,
PZ:OPPI - OWNERS PROTECTIVE PROFESSIONAL INDEMNITY,PZ,1.5,1.25,
SA:CONTINGENCY TERRORISM NON CONSORTIUM,SA,1.5,1.25,
SB:FILM,SB,1.5,1.25,
SC:EVENT CANCELLATION,SC,1.9,2.25,
SD:POLITICAL CF PUBLIC DEBT/NON-PERFORMANCE,SD,1.5,1.25,
SE:POLITICAL CREDIT,SE,1.5,1.25,
SF:POLITICAL CF PRIVATE DEBT/NON-PERFORMANCE,SF,1.5,1.25,
SG:POLITICAL CF SOVEREIGN DEBT/GUARANTEE,SG,1.5,1.25,
SJ:CONTINGENCY EVENT LIABILITY,SJ,1.9,2.25,
SK:CONTINGENCY EMPLOYERS LIABILITY,SK,1.9,2.25,
SL:CONTINGENT CONSTRUCTION,SL,1.9,2.25,
SM:POLITICAL LENDERS CI/XT,SM,1.5,1.25,
SN:NON APPEARANCE,SN,1.9,2.25,
SP:POLITICAL,SP,1.5,1.25,
SR:RECALL,SR,1.5,1.25,
ST:CONSORTIUM STANDALONE TERRORISM,ST,1.9,2.25,
SU:MISCELLANEOUS CONTINGENCY,SU,1.9,2.25,
SV:POLITICAL VIOLENCE,SV,1.5,1.25,
SW:CONSORTIUM EVENT CANCELLATION,SW,1.9,2.25,
SX:CONSORTIUM FILM,SX,1.9,2.25,
SY:CONSORTIUM NON APPEARANCE,SY,1.9,2.25,
SZ:CONSORTIUM MISCELLANEOUS CONTINGENCY,SZ,1.9,2.25,
TB:B & M,TB,1.5,1.25,
TC:RAILROAD PROTECTIVES,TC,1.5,1.25,
TD:Embedded EPL,TD,1.5,1.25,
TE:THIRD PARTY EPL,TE,1.5,1.25,
TF: Embedded BBR,TF,1.5,1.25,
TG:GL (CLAIMS MADE),TG,1.5,1.25,
TH:EMBEDDED MISC E&O,TH,1.5,1.25,New
TJ:EMBEDDED MISC D&O,TJ,1.5,1.25,New
TL:GL/PRODS 'OCCURRENCE',TL,1.5,1.25,
TM:THIRD PARTY TRUCKING,TM,1.5,1.25,
TP:PHARMS,TP,1.5,1.25,
TQ:SURETY REINSURANCE,TQ,1.5,1.25,
TR:RAILROADS,TR,1.5,1.25,
TS:SEXUAL MOLESTATION & HARD TO PLACE EPL,TS,1.1,2.5,
TT:TITLE INSURANCE,TT,1.5,2.5,
TU:UTILITIES,TU,1.5,1.25,
TW:WAGE AND HOUR,TW,2,2.5,
TX:CROSS SOLD EPL,TX,1.5,1.25,
TY:PCL (EPL),TY,1.5,1.25,
UL:SPECIALTY LINES US TERRORISM (TRIA),UL,1.5,1.25,
UU:SPECIALTY LINES STAND ALONE US TERRORISM (TRIA),UU,1.5,1.25,
XL:SPECIALTY LINES AUSTRALIAN TERRORISM,XL,1.5,1.25,
ZH:SPECIALTY LINES DEFAULT FOR ELGAR,ZH,1.5,1.25,
