Effective_Dt,SIC,Sector_Desc,Sector,Comment,Message,freqband5,f5Adj,InternationalIndustry,SICClass,dup,N_SIC,NAICS,NAICS Title,MMPEPL_COBMap,EPL_COBFactor,MMP - High Risk Segments
44621,6351,INSURANCE,9,,-All risks in this sector to be roundtabled ,0,0.015,Insurance,SURETY INSURANCE,1,6351,524126,Direct Property and Casualty Insurance Carriers,"Class not in Table A, B, C, or D",1,Yes
44621,6361,INSURANCE,9,,-All risks in this sector to be roundtabled ,0,0.015,Insurance,TITLE INSURANCE,1,6361,524127,Direct Title Insurance Carriers,"Class not in Table A, B, C, or D",1,Yes
44621,6371,INSURANCE,9,,-All risks in this sector to be roundtabled ,0,0.015,Insurance,"PENSION, HEALTH, AND WELFARE FUNDS",1,6371,523920,Portfolio Management,"Class not in Table A, B, C, or D",1,Yes
44621,6380,INSURANCE,9,,-All risks in this sector to be roundtabled ,0,0.015,Insurance,LIFE INSURANCE,1,6380,524113,Direct Life Insurance Carriers,"Class not in Table A, B, C, or D",1,Yes
44621,6382,INSURANCE,9,,-All risks in this sector to be roundtabled ,0,0.015,Insurance,LIFE INSURANCE,1,6382,524113,Direct Life Insurance Carriers,"Class not in Table A, B, C, or D",1,Yes
44621,6399,INSURANCE,9,,-All risks in this sector to be roundtabled ,0,0.015,Insurance,"INSURANCE CARRIERS, N.E.C.",1,6399,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","Class not in Table A, B, C, or D",1,Yes
44621,6411,INSURANCE,9,,-All risks in this sector to be roundtabled ,0,0.015,Insurance,"INSURANCE AGENTS, BROKERS & SERVICE",1,6411,524210,Insurance Agencies and Brokerages,"Class not in Table A, B, C, or D",1,Yes
44621,7372,PREPACKAGED SOFTWARE,10,0,"-Revenue recognition can be complex where there is a mixture of software and services. Some companies moving to a subscription revenue rec (vs perpetual) which is more predictable. 
- Increase frequency 20% for perpetual licenses, decrease frequency 12.5% for subscription businesses (ie, if subscription and maintenance is  greater than 80%,  decrease frequency by up to 12.5%, if around 70% then leave rate, and if less than 60%, increase frequency by 20%). 
- Beware of cloud companies, consider blending with computer related services.",0,0.033,Tech - Software,PREPACKAGED SOFTWARE,1,7372,334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","Class not in Table A, B, C, or D",1,No
44621,100,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,WHEAT,1,100,111140,Wheat Farming,"Class not in Table A, B, C, or D",1,No
44621,111,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,WHEAT,1,111,111140,Wheat Farming,"Class not in Table A, B, C, or D",1,No
44621,112,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,RICE,1,112,111160,Rice Farming,"Class not in Table A, B, C, or D",1,No
44621,115,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,CORN,1,115,111150,Corn Farming,"Class not in Table A, B, C, or D",1,No
44621,116,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,SOYBEANS,1,116,111110,Soybean Farming,"Class not in Table A, B, C, or D",1,No
44621,119,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,"CASH GRAINS, N.E.C.",1,119,111120,Oilseed (except Soybean) Farming,"Class not in Table A, B, C, or D",1,No
44621,131,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,COTTON,1,131,111920,Cotton Farming,"Class not in Table A, B, C, or D",1,No
44621,132,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Tobacco,TOBACCO,1,132,111910,Tobacco Farming,"Class not in Table A, B, C, or D",1,Yes
44621,133,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,SUGARCANE AND SUGAR BEETS,1,133,111930,Sugarcane Farming,"Class not in Table A, B, C, or D",1,No
44621,134,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,IRISH POTATOES,1,134,111211,Potato Farming,"Class not in Table A, B, C, or D",1,No
44621,139,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,"FIELD CROPS, EXCEPT CASH GRAINS, N.E.C.",1,139,111199,All Other Grain Farming,"Class not in Table A, B, C, or D",1,No
44621,161,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,VEGETABLES AND MEONS,1,161,111211,Potato Farming,"Class not in Table A, B, C, or D",1,No
44621,171,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,BERRY CROPS,1,171,111333,Strawberry Farming,"Class not in Table A, B, C, or D",1,No
44621,172,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,GRAPES,1,172,111332,Grape Vineyards,"Class not in Table A, B, C, or D",1,No
44621,173,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,TREE NUETS,1,173,111335,Tree Nut Farming,"Class not in Table A, B, C, or D",1,No
44621,174,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,CITRUS FRUITS,1,174,111310,Orange Groves,"Class not in Table A, B, C, or D",1,No
44621,175,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,DECIDUOUS TREE FRUITS,1,175,111331,Apple Orchards,"Class not in Table A, B, C, or D",1,No
44621,179,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,"FRUITS AND TREE NUTS, N.E.C.",1,179,111336,Fruit and Tree Nut Combination Farming,"Class not in Table A, B, C, or D",1,No
44621,181,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,ORNAMENTAL NURSERY PRODUCTS,1,181,111421,Nursery and Tree Production,"Class not in Table A, B, C, or D",1,No
44621,182,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,FOOD CROPS GROWN UNDER COVER,1,182,111411,Mushroom Production,"Class not in Table A, B, C, or D",1,No
44621,191,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,"GENERAL FARMS, PRIMARILY CROP",1,191,111998,All Other Miscellaneous Crop Farming,"Class not in Table A, B, C, or D",1,No
44621,200,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,WHEAT,1,200,111140,Wheat Farming,"Class not in Table A, B, C, or D",1,No
44621,211,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,BEEF CATTLE FEEDLOTS,1,211,112112,Cattle Feedlots,"Class not in Table A, B, C, or D",1,No
44621,212,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,"BEEF CATTLE, EXCEPT FEEDLOTS",1,212,112111,Beef Cattle Ranching and Farming,"Class not in Table A, B, C, or D",1,No
44621,213,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,HOGS,1,213,112210,Hog and Pig Farming,"Class not in Table A, B, C, or D",1,No
44621,214,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,SHEET AND GOATS,1,214,112410,Sheep Farming,"Class not in Table A, B, C, or D",1,No
44621,219,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,"GENERAL LIVESTOCK, N.E.C.",1,219,112990,All Other Animal Production,"Class not in Table A, B, C, or D",1,No
44621,241,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,DAIRY FARMS,1,241,112111,Beef Cattle Ranching and Farming,"Class not in Table A, B, C, or D",1,No
44621,251,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,"BROILER, FRYER, AND ROASTER CHICKENS",1,251,112320,Broilers and Other Meat Type Chicken Production,"Class not in Table A, B, C, or D",1,No
44621,252,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,CHICKEN EGGS,1,252,112310,Chicken Egg Production,"Class not in Table A, B, C, or D",1,No
44621,253,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,TURKEYS AND TURKEY EGGS,1,253,112330,Turkey Production,"Class not in Table A, B, C, or D",1,No
44621,254,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,POULTRY HATCHERIES,1,254,112340,Poultry Hatcheries,"Class not in Table A, B, C, or D",1,No
44621,259,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,"POULTRY AND EGGS, N.E.C.",1,259,112390,Other Poultry Production,"Class not in Table A, B, C, or D",1,No
44621,271,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,FUR-BEARNING ANIMALS AND RABBITS,1,271,112930,Fur-Bearing Animal and Rabbit Production,"Class not in Table A, B, C, or D",1,No
44621,272,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,HORSES AND OTHER EQUINES,1,272,112920,Horses and Other Equine Production,"Class not in Table A, B, C, or D",1,No
44621,273,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,ANIMAL AQUACULTURE,1,273,112511,Finfish Farming and Fish Hatcheries,"Class not in Table A, B, C, or D",1,No
44621,279,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,"ANIMAL SPECIALTIES, N.E.C.",1,279,112519,Other Aquaculture,"Class not in Table A, B, C, or D",1,No
44621,291,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,"GENERAL FARMS, PRIMARILY ANIMAL",1,291,112990,All Other Animal Production,"Class not in Table A, B, C, or D",1,No
44621,700,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,WHEAT,1,700,111140,Wheat Farming,"Class not in Table A, B, C, or D",1,No
44621,711,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,SOIL PREPARATION SERVICES,1,711,115112,"Soil Preparation, Planting, and Cultivating","Class not in Table A, B, C, or D",1,No
44621,721,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,CROP PLANTING AND PROTECTING,1,721,115112,"Soil Preparation, Planting, and Cultivating","Class not in Table A, B, C, or D",1,No
44621,722,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,CROP HARVESTING,1,722,115113,"Crop Harvesting, Primarily by Machine","Class not in Table A, B, C, or D",1,No
44621,723,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,CROP PREPARATION SERVICES FOR MARKET,1,723,115114,Postharvest Crop Activities (except Cotton Ginning),"Class not in Table A, B, C, or D",1,No
44621,724,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,COTTON GINNING,1,724,115111,Cotton Ginning,"Class not in Table A, B, C, or D",1,No
44621,741,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Health Care Providers & Services,VETERINARY SERVICES FOR LIVESTOCK,1,741,541940,Veterinary Services,"Class not in Table A, B, C, or D",1,Yes
44621,742,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Health Care Providers & Services,"VETERINARY SERVICES, SPECIALITIES",1,742,541940,Veterinary Services,"Class not in Table A, B, C, or D",1,Yes
44621,751,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Health Care Providers & Services,"LIVESTOCK SERVICES, EXCEPT VETERINARY",1,751,115210,Support Activities for Animal Production,"Class not in Table A, B, C, or D",1,No
44621,752,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Health Care Providers & Services,ANIMAL SPECIALTY SERVICES,1,752,115210,Support Activities for Animal Production,"Class not in Table A, B, C, or D",1,No
44621,761,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,FARM LABOR CONTRACTORS,1,761,115115,Farm Labor Contractors and Crew Leaders,"Class not in Table A, B, C, or D",1,No
44621,762,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,FARM MANAGEMENT SERVICES,1,762,115116,Farm Management Services,"Class not in Table A, B, C, or D",1,No
44621,781,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,LANDSCAPE COUNSELING AND PLANNING,1,781,541320,Landscape Architectural Services,"Class not in Table A, B, C, or D",1,No
44621,782,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,LAWN AND GARDEN SERVICES,1,782,561730,Landscaping Services,"Class not in Table A, B, C, or D",1,No
44621,783,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,ORNAMENTAL SHRUB AND TREE SERVICES,1,783,561730,Landscaping Services,"Class not in Table A, B, C, or D",1,No
44621,800,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,WHEAT,1,800,111140,Wheat Farming,"Class not in Table A, B, C, or D",1,No
44621,811,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Paper & Forest Products,TIMBER TRACTS,1,811,111421,Nursery and Tree Production,"Class not in Table A, B, C, or D",1,No
44621,831,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Paper & Forest Products,FOREST PRODUCTS,1,831,111998,All Other Miscellaneous Crop Farming,"Class not in Table A, B, C, or D",1,No
44621,851,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Paper & Forest Products,FORESTRY SERVICES,1,851,115310,Support Activities for Forestry,"Class not in Table A, B, C, or D",1,No
44621,912,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,FINFISH,1,912,114111,Finfish Fishing,"Class not in Table A, B, C, or D",1,No
44621,913,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Food Products,SHELLFIESH,1,913,114112,Shellfish Fishing,"Class not in Table A, B, C, or D",1,No
44621,919,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,MISCELLANEOUS MARINE PRODUCTS,1,919,111998,All Other Miscellaneous Crop Farming,"Class not in Table A, B, C, or D",1,No
44621,921,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,FISH HATCHERIES AND PRESERVES,1,921,112511,Finfish Farming and Fish Hatcheries,"Class not in Table A, B, C, or D",1,No
44621,971,AGRICULTURE,12,,- Tiny sector only 9 companies.,0,0.017626065,Not Elsewhere Classified,"HUNTING, TRAPPING, GAME PROPAGATION",1,971,114210,Hunting and Trapping,"Class not in Table A, B, C, or D",1,No
44621,4822,COMMUNICATIONS,6,,"-Limited claims activity that has picked up in the last couple of years, small sector where one claim can have a significant impact on frequency. 
-Claims activity is particularly high for integrated telecommunications services.",0,0.035,Tech - Communications Equipment,TELEGRAPH & OTHER COMMUNICATIONS,1,4822,517311,Wired Telecommunications Carriers,"Class not in Table A, B, C, or D",1,No
44621,4832,BROADCASTING,13,,"- Very diverse sector that needs some consideration. 
-Newspapers are in slow decline so generally lower risk and deserving a frequency decrease (consider bankruptcy risk first), whilst content providers are much higher risk and could require a frequency increase to the base frequency. 
-Beware of cloud companies, especially those that derive revenue from marketing and treat with caution
- Any concerns, discuss with Neal, Wayne or Jeremie. ",0,0.014503285,Tech - Communications Equipment,RADIO BROADCASTING STATIONS,1,4832,515111,Radio Networks,Table C,2,No
44621,4833,BROADCASTING,13,,"- Very diverse sector that needs some consideration. 
-Newspapers are in slow decline so generally lower risk and deserving a frequency decrease (consider bankruptcy risk first), whilst content providers are much higher risk and could require a frequency increase to the base frequency. 
-Beware of cloud companies, especially those that derive revenue from marketing and treat with caution
- Any concerns, discuss with Neal, Wayne or Jeremie. ",0,0.014503285,Tech - Electronic Equipment,TELEVISION BROADCASTING STATIONS,1,4833,515120,Television Broadcasting,Table C,2,No
44621,4841,BROADCASTING,13,,"- Very diverse sector that needs some consideration. 
-Newspapers are in slow decline so generally lower risk and deserving a frequency decrease (consider bankruptcy risk first), whilst content providers are much higher risk and could require a frequency increase to the base frequency. 
-Beware of cloud companies, especially those that derive revenue from marketing and treat with caution
- Any concerns, discuss with Neal, Wayne or Jeremie. ",0,0.014503285,Tech - Electronic Equipment,CABLE AND OTHER PAY TV SERVICES,1,4841,515210,Cable and Other Subscription Programming,Table C,2,No
44621,1520,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,SINGLE-FAMILY HOUSING CONSTRUCTION,1,1520,236115,New Single-Family Housing Construction (except For-Sale Builders),Table A,1.25,No
44621,1521,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,SINGLE-FAMILY HOUSING CONSTRUCTION,1,1521,236115,New Single-Family Housing Construction (except For-Sale Builders),Table A,1.25,No
44621,1522,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,"RESIDENTIAL CONSTRUCTION, N.E.C.",1,1522,236116,New Multifamily Housing Construction (except For-Sale Builders),Table A,1.25,No
44621,1531,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,OPERATIVE BUILDERS,1,1531,236117,New Housing For-Sale Builders,Table A,1.25,No
44621,1540,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,SINGLE-FAMILY HOUSING CONSTRUCTION,1,1540,236115,New Single-Family Housing Construction (except For-Sale Builders),Table A,1.25,No
44621,1541,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,INDUSTRIAL BUILDINGS AND WAREHOUSES,1,1541,236210,Industrial Building Construction,Table A,1.25,No
44621,1542,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,"NONRESIDENTIAL CONSTRUCTION, N.E.C.",1,1542,236220,Commercial and Institutional Building Construction,Table A,1.25,No
44621,1600,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,SINGLE-FAMILY HOUSING CONSTRUCTION,1,1600,236115,New Single-Family Housing Construction (except For-Sale Builders),Table A,1.25,No
44621,1611,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,HIGHWAY AND STREET CONSTRUCTION,1,1611,237310,"Highway, Street, and Bridge Construction",Table A,1.25,No
44621,1622,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,"BRIDGE, TUNNEL & ELEVATED HIGHWAY",1,1622,237310,"Highway, Street, and Bridge Construction",Table A,1.25,No
44621,1623,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,"WATER, SEEWER, AND UTILITY LINES",1,1623,237110,Water and Sewer Line and Related Structures Construction,Table A,1.25,No
44621,1629,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,"HEAVY CONSTRUCTION, N.E.C.",1,1629,236210,Industrial Building Construction,Table A,1.25,No
44621,1700,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,SINGLE-FAMILY HOUSING CONSTRUCTION,1,1700,236115,New Single-Family Housing Construction (except For-Sale Builders),Table A,1.25,No
44621,1711,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,"PLUMBING, HEATING, AIRCONDITIONING",1,1711,238210,Electrical Contractors and Other Wiring Installation Contractors,Table A,1.25,No
44621,1721,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,PAINTING AND PAPER HANGING,1,1721,237310,"Highway, Street, and Bridge Construction",Table A,1.25,No
44621,1731,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,ELECTRICAL WORK,1,1731,238210,Electrical Contractors and Other Wiring Installation Contractors,Table A,1.25,No
44621,1741,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,MASONRY AND OTHER STONEWORK,1,1741,238140,Masonry Contractors,Table A,1.25,No
44621,1742,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,"PLASTERING, DRYWALL, AND INSULATION",1,1742,238310,Drywall and Insulation Contractors,Table A,1.25,No
44621,1743,CONSTRUCTION,14,,"-Decrease frequency for stable and best in class companies by up to 25%. 
- Beware of regulatory issues. 
- Potential recession exposure indicated, look out for fall in # of home constructions (may become reluctant to start new projects if there is a fear of economic slump).  ",0,0.03,Construction & Engineering,"TERRAZZO, TILE, MARBLE, MOSAIC WORK",1,1743,238310,Drywall and Insulation Contractors,Table A,1.25,No
